"id","piping_class_id","section_no","piping_component_id","valve_id","size_desc","description","created_at","updated_at"
1264,38,0,39,353,"1"" - 1-1/2""","CLASS 600 STEEL : SOCKETWELD",,
1265,38,0,42,,"2"" - 14""","CLASS 300 STEEL (125-250 AARH FACING) RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, STD WEIGHT BORE",,
1266,38,0,42,,"16"" - 24""","CLASS 300 STEEL (125-250 AARH FACING) RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, BORE TO MATCH PIPE",,
1267,38,0,43,,"1/2"" - 1-1/2""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : XS WEIGHT",,
1268,38,0,43,,"2"" - 14""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : STD WEIGHT",,
1269,38,0,43,,"16"" - 24""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : CALCULATE WALL THICKNESS (STD WEIGHT MINIMUM)",,
1270,38,0,48,,"1/2"" - 1-1/2""","STEEL ASTM A105 ANSI B16.11 : ROUND HEAD SOLID, SCREWED",,
1271,38,0,49,,"ALL","SEE DWG APCO-DWG-P-38 IN ENGINEERING STD. 202 (C.P. ONLY). FOR LAR, SEE DWG I-24502, PAGES I-14 THRU I-22.",,
1272,38,0,56,,"ALL","SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202",,
1273,38,0,65,,"ALL","NOT ALLOWED - USE FLANGES",,
1274,38,0,66,,"ALL","SEE DWG APCO-DWG-P-37 IN ENGINEERING STD. 202",,
1275,39,0,1,218,"1/2"" - 1-1/2""","CLASS 300 STEEL RF FLGD (200F MAX.) : TFE SEAT, FLOATING BALL, WR OPR",,
1276,39,0,1,218,"2"" - 4""","CLASS 300 STEEL RF FLGD (200F MAX.) : TFE SEAT, FLOATING BALL, WR OPR",,
1277,39,0,1,218,"6"" ONLY","CLASS 300 STEEL RF FLGD (200F MAX.) : TFE SEAT, FLOATING BALL, GR OPR",,
1278,39,0,1,360,"1/2"" - 1-1/2""","STEEL FLOATING BALL, 1000 PSIG (200F MAX) : TFE SEAT, SOCKETWELD, WR OPR",,
1279,39,0,1,361,"1/2"" - 1-1/2""","STEEL FLOATING BALL, 1000 PSIG (200F MAX) : TFE SEAT, SW/SCRD, WR OPR",,
1280,39,0,4,402,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD API 602",,
1281,39,0,4,403,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED API 602",,
1282,39,0,4,145,"1/2""-1-1/2""","CLASS 300 STEEL : RAISED FACE FLGD. API 602",,
1283,39,0,4,145,"2"" ONLY","CLASS 300 STEEL : RAISED FACE FLANGED",,
1284,39,0,5,438,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD",,
1285,39,0,5,184,"2"" ONLY","CLASS 300 STEEL : RAISED FACE FLANGED",,
1286,39,0,6,,"ALL","ASTM A193, B7 STUD, WITH 2 HEAVY HEXNUTS ASTM A194, GR 2H",,
1287,39,0,7,,"ALL","SEE CHART BC-9",,
1288,39,0,10,195,"2"" & LARGER","CLASS 300 STEEL : SWING, RAISED FACE FLANGED",,
1289,39,0,10,443,"1/2"" - 1-1/2""","CLASS 800 STEEL : HORIZONTAL LIFT, SOCKETWELD",,
1290,39,0,13,,"1/2"" - 3/4","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 6000",,
1291,39,0,13,,"1"" - 1-1/2""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 3000",,
1292,39,0,13,,"2"" ONLY","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : XS WEIGHT",,
1293,39,0,13,,"3"" - 10""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : STD WEIGHT",,
1294,39,0,13,,"12"" - 24""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : WALL THICKNESS TO MATCH PIPE",,
1295,39,0,16,,"1/2"" - 3/4""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, SCHEDULE 160 BORE",,
1296,39,0,16,,"1"" - 1-1/2""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, XS BORE",,
1297,39,0,16,,"2"" ONLY","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, XS BORE",,
1298,39,0,16,,"3"" - 10""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, STD WEIGHT BORE",,
1299,39,0,16,,"12"" - 24""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, BORE TO MATCH PIPE",,
1300,39,0,16,,"1/2"" - 24""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : BLIND",,
1301,39,0,20,,"ALL","1/16"" THICK COMPRESSED ASBESTOS DURABLA BLACK OR EQUAL (FOR LAR ONLY)",,
1302,39,0,20,,"ALL","1/16"" THICK FLEXIBLE GRAPHITE SHEET WITH 316SS TANG METAL INSERT. UNION CARBIDE GHE OR EQUAL (FOR CP ONLY)",,
1303,39,0,21,116,"1/2"" - 1-1/2""","CLASS 300 STEEL : RAISED FACE FLANGED API 602",,
1304,39,0,21,126,"2"" & LARGER","CLASS 300 STEEL : RAISED FACE FLANGED API 600",,
1305,39,0,21,379,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD API 602",,
1306,39,0,21,388,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED API 602",,
1307,39,0,23,672,"3/4""","4000# - 6000# MALE SOCKETWELD END : STEEL BAR STOCK, 1/2"" FNPT SIDE OUTLETS, INTEGRAL BLEED VALVE",,
1308,39,0,24,165,"2"" - 12""","CLASS 300 STEEL : RAISED FACE FLANGED",,
1309,39,0,24,422,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD",,
1310,39,0,39,224,"2"" & LARGER","CLASS 300 STEEL : RAISED FACE FLANGED, TFE SEAT",,
1311,39,0,39,353,"1"" - 1-1/2""","CLASS 600 STEEL : SOCKETWELD",,
1312,39,0,42,,"2"" ONLY","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, XS BORE",,
1313,39,0,42,,"3"" - 10""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, STD WEIGHT BORE",,
1314,39,0,42,,"12"" - 24""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, BORE TO MATCH PIPE",,
1315,39,0,43,,"1/2"" - 3/4""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : SCHEDULE 160",,
1316,39,0,43,,"1"" - 1-1/2""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : XS WEIGHT",,
1317,39,0,43,,"2"" ONLY","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : XS WEIGHT",,
1318,39,0,43,,"3"" - 10""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : STD WEIGHT",,
1319,39,0,43,,"12"" - 24""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : CALCULATE WALL THICKNESS (STD WEIGHT MINIMUM)",,
1320,39,0,48,,"1/2"" - 1-1/2""","STEEL ASTM A105, ANSI B16.11 : ROUND HEAD SOLID, SCREWED",,
1321,39,0,49,,"ALL","SEE DWG APCO-DWG-P-38 IN ENGINEERING STD. 202 (C.P. ONLY). FOR LAR, SEE DWG I-24502, PAGES I-14 THRU I-22.",,
1322,39,0,56,,"ALL","SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202",,
1323,39,0,61,215,"2"" - 24""","CLASS 300 STEEL : RAISED FACE FLANGED",,
1324,39,0,65,,"ALL","NOT ALLOWED - USE FLANGES",,
1325,39,0,66,,"ALL","SEE DWG APCO-DWG-P-37 IN ENGINEERING STD. 202",,
1326,40,0,1,219,"1/2"" - 1-1/2""","CLASS 300 STEEL RF FLGD (200F MAX.) : TFE SEAT, WR OPR, NACE",,
1327,40,0,1,219,"2"" - 4""","CLASS 300 STEEL RF FLGD (200F MAX.) : TFE SEAT, WR OPR, NACE",,
1328,40,0,1,219,"6"" ONLY","CLASS 300 STEEL RF FLGD (200F MAX.) : TFE SEAT, GR OPR, NACE",,
1329,40,0,4,414,"1/2""-1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD, NACE",,
1330,40,0,4,415,"1/2""-1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD/SCREWED, NACE",,
1331,40,0,4,146,"1/2""-1-1/2""","CLASS 300 STEEL : RAISED FACE FLGD, NACE",,
1332,40,0,4,146,"2"" ONLY","CLASS 300 STEEL : RAISED FACE FLANGED,NACE",,
1333,40,0,5,441,"1/2"" - 1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD, NACE",,
1334,40,0,5,185,"2"" ONLY","CLASS 300 STEEL : RAISED FLANGED, NACE",,
1335,40,0,6,,"ALL","ASTM A193, B7 STUD, WITH 2 HEAVY HEXNUTS ASTM A194, GR 2H",,
1336,40,0,7,,"ALL","SEE CHART BC-9",,
1337,40,0,10,197,"2"" & LARGER","CLASS 300 STEEL : SWING, RAISED FACE FLGD,NACE",,
1338,40,0,10,445,"1/2"" - 1-1/2""","CLASS 800 STEEL, BOLTED CAP : HORIZONTAL LIFT, SW, NACE",,
1339,40,0,13,,"1/2"" - 3/4""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 6000",,
1340,40,0,13,,"1"" - 1-1/2""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 3000",,
1341,40,0,13,,"2"" ONLY","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : XS WEIGHT",,
1342,40,0,13,,"3"" - 10""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : STD WEIGHT",,
1343,40,0,13,,"12"" - 24""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : WALL THICKNESS TO MATCH PIPE",,
1344,40,0,16,,"1/2"" - 3/4""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, SCHEDULE 160 BORE",,
1345,40,0,16,,"1"" - 1-1/2""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, XS BORE",,
1346,40,0,16,,"2"" ONLY","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, XS BORE",,
1347,40,0,16,,"3"" - 10""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, STD WEIGHT BORE",,
1348,40,0,16,,"12"" - 24""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, BORE TO MATCH PIPE",,
1349,40,0,16,,"1/2"" - 24""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : BLIND",,
1350,40,0,20,,"ALL","1/16"" THICK COMPRESSED ASBESTOS DURABLA BLACK OR EQUAL (FOR LAR ONLY)",,
1351,40,0,20,,"ALL","1/16"" THICK FLEXIBLE GRAPHITE SHEET WITH 316SS TANG METAL INSERT. UNION CARBIDE GHE OR EQUAL (FOR CP ONLY)",,
1352,40,0,21,121,"1/2"" - 1-1/2""","CLASS 300 STEEL : RAISED FACE FLANGED, NACE",,
1353,40,0,21,122,"2"" & LARGER","CLASS 300 STEEL : RAISED FACE FLANGED, NACE",,
1354,40,0,21,386,"1/2"" - 1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD, NACE",,
1355,40,0,21,387,"1/2"" - 1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD/SCREWED, NACE",,
1356,40,0,23,673,"3/4""","4000# - 6000# MALE SOCKETWELD END : STEEL BAR STOCK, NACE, 1/2"" FNPT SIDE OUTLETS, INTEGRAL BLEED VALVE",,
1357,40,0,24,158,"2"" - 12""","CLASS 300 STEEL : RAISED FACE FLANGED,NACE",,
1358,40,0,24,424,"1/2"" - 1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD, NACE",,
1359,40,0,39,225,"2"" & LARGER","CLASS 300 STEEL : RAISED FACE FLGD, TFE SEAT, NACE",,
1360,40,0,39,355,"1"" - 1-1/2""","CLASS 600 STEEL : SOCKETWELD,NACE",,
1361,40,0,42,,"2"" ONLY","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, XS BORE",,
1362,40,0,42,,"3"" - 10""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, STD WEIGHT BORE",,
1363,40,0,42,,"12"" - 24""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, BORE TO MATCH PIPE",,
1364,40,0,43,,"1/2"" -3/4""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : SCHEDULE 160",,
1365,40,0,43,,"1"" - 1-1/2""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : XS WEIGHT",,
1366,40,0,43,,"2"" ONLY","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : XS WEIGHT",,
1367,40,0,43,,"3"" - 10""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : STD WEIGHT",,
1368,40,0,43,,"12"" - 24""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : CALCULATE WALL THICKNESS STD WEIGHT MINIMUM)",,
1369,40,0,48,,"1/2"" - 1-1/2""","STEEL ASTM A105, ANSI B16.11 : ROUND HEAD SOLID, SCREWED",,
1370,40,0,49,,"ALL","SEE DWG APCO-DWG-P-38 IN ENGINEERING STD. 202 (C.P. ONLY). FOR LAR, SEE DWG I-24502, PAGES I-14 THRU I-22.",,
1371,40,0,56,,"ALL","SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202",,
1372,40,0,65,,"ALL","NOT ALLOWED - USE FLANGES",,
1373,40,0,66,,"ALL","SEE DWG APCO-DWG-P-37 IN ENGINEERING STD. 202",,
1374,41,0,1,218,"1/2"" - 1-1/2""","CLASS 300 STEEL RF FLGD (200F MAX.) : TFE SEAT, FLOATING BALL, WR OPR",,
1375,41,0,1,218,"2"" - 4""","CLASS 300 STEEL RF FLGD (200F MAX.) : TFE SEAT, FLOATING BALL, WR OPR",,
1376,41,0,1,218,"6"" ONLY","CLASS 300 STEEL RF FLGD (200F MAX.) : TFE SEAT, FLOATING BALL, GR OPR",,
1377,41,0,1,360,"1/2"" - 1-1/2""","STEEL FLOATING BALL, 1000 PSIG (200F MAX) : TFE SEAT, SOCKETWELD, WR OPR",,
1378,41,0,1,361,"1/2"" - 1-1/2""","STEEL FLOATING BALL, 1000 PSIG (200F MAX) : TFE SEAT, SW/SCRD, WR OPR",,
1379,41,0,4,412,"1/2""-1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD API 602",,
1380,41,0,4,413,"1/2""-1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD/SCREWED API 602",,
1381,41,0,4,145,"1/2""-1-1/2""","CLASS 300 STEEL : RAISED FACE FLGD. API 602",,
1382,41,0,4,145,"2"" ONLY","CLASS 300 STEEL : RAISED FACE FLANGED",,
1383,41,0,5,439,"1/2""-1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD",,
1384,41,0,5,184,"2"" ONLY","CLASS 300 STEEL : RAISED FACE FLANGED",,
1385,41,0,6,,"ALL","ASTM A193, B7 STUD, WITH 2 HEAVY HEXNUTS ASTM A194, GR 2H",,
1386,41,0,7,,"ALL","SEE CHART BC-9",,
1387,41,0,10,195,"2"" & LARGER","CLASS 300 STEEL : SWING, RAISED FACE FLANGED",,
1388,41,0,10,443,"1/2"" - 1-1/2""","CLASS 800 STEEL, BOLTED CAP : HORIZONTAL LIFT, SOCKETWELD",,
1389,41,0,13,,"1/2"" - 3/4""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 6000",,
1390,41,0,13,,"1"" - 1-1/2""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 3000",,
1391,41,0,13,,"2"" - 24""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : WALL THICKNESS TO MATCH PIPE",,
1392,41,0,16,,"1/2"" - 3/4""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, SCHEDULE 160 BORE",,
1393,41,0,16,,"1"" - 1-1/2""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, XS BORE",,
1394,41,0,16,,"2"" - 24""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, BORE TO MATCH PIPE",,
1395,41,0,16,,"1/2"" - 24""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : BLIND",,
1396,41,0,20,,"ALL","SPIRAL WOUND TYPE 304SS WITH FLEXIBLE GRAPHITE FILLER, 1/8"" THICK CENTERING RING",,
1397,41,0,21,116,"1/2"" - 1-1/2""","CLASS 300 STEEL : RAISED FACE FLANGED API 602",,
1398,41,0,21,126,"2"" & LARGER","CLASS 300 STEEL : RAISED FACE FLANGED API 600",,
1399,41,0,21,383,"1/2"" - 1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD API 602",,
1400,41,0,21,384,"1/2"" - 1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD/SCREWED API 602",,
1401,41,0,23,672,"3/4""","4000# - 6000# MALE SOCKETWELD END : STEEL BAR STOCK, 1/2"" FNPT SIDE OUTLETS, INTEGRAL BLEED VALVE",,
1402,41,0,24,165,"2"" - 12""","CLASS 300 STEEL : RAISED FACE FLANGED",,
1403,41,0,24,425,"1/2"" - 1-1/2""","CLASS 800 STEEL, BOLTED BONNET : SOCKETWELD",,
1404,41,0,39,224,"2"" & LARGER","CLASS 300 STEEL : RAISED FACE FLANGED, TFE SEAT",,
1405,41,0,39,353,"1"" - 1-1/2""","CLASS 600 STEEL, BOLTED BONNET : SOCKETWELD",,
1406,41,0,42,,"2"" - 24""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, BORE TO MATCH PIPE",,
1407,41,0,43,,"1/2"" - 3/4""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : SCHEDULE 160",,
1408,41,0,43,,"1"" - 1-1/2""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : XS WEIGHT",,
1409,41,0,43,,"2"" - 24""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : CALC WALL THICKNESS (STD WEIGHT MINIMUM)",,
1410,41,0,48,,"1/2"" - 1-1/2""","STEEL ASTM A105 ANSI B16.11 : ROUND HEAD SOLID, SCREWED",,
1411,41,0,49,,"ALL","SEE DWG APCO-DWG-P-38 IN ENGINEERING STD. 202 (C.P. ONLY). FOR LAR, SEE DWG I-24502, PAGES I-14 THRU I-22.",,
1412,41,0,56,,"ALL","SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202",,
1413,41,0,65,,"ALL","NOT ALLOWED - USE FLANGES",,
1414,41,0,66,,"ALL","SEE DWG APCO-DWG-P-37 IN ENGINEERING STD. 202",,
1415,42,0,1,219,"1/2"" - 1-1/2""","CLASS 300 STEEL RF FLGD (200F MAX.) : TFE SEAT, WR OPR, NACE",,
1416,42,0,1,219,"2"" - 4""","CLASS 300 STEEL RF FLGD (200F MAX.) : TFE SEAT, WR OPR, NACE",,
1417,42,0,1,219,"6"" ONLY","CLASS 300 STEEL RF FLGD (200F MAX.) : TFE SEAT, GR OPR, NACE",,
1418,42,0,1,362,"1/2"" - 1-1/2""","STEEL FLOATING BALL, 1000 PSIG (200F MAX) : TFE SEAT, SOCKETWELD, WR OPR,NACE",,
1419,42,0,1,363,"1/2"" - 1-1/2""","STEEL FLOATING BALL, 1000 PSIG (200F MAX) : TFE SEAT, SW/SCRD, WR OPR,NACE",,
1420,42,0,4,408,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD, NACE",,
1421,42,0,4,409,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED, NACE",,
1422,42,0,4,146,"1/2""-1-1/2""","CLASS 300 STEEL : RAISED FACE FLGD. NACE",,
1423,42,0,4,146,"2"" ONLY","CLASS 300 STEEL : RAISED FACE FLANGED,NACE",,
1424,42,0,5,440,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD, NACE",,
1425,42,0,5,185,"2"" ONLY","CLASS 300 STEEL : RAISED FLANGED, NACE",,
1426,42,0,6,,"ALL","ASTM A193, B7 STUD, WITH 2 HEAVY HEXNUTS ASTM A194, GR 2H",,
1427,42,0,7,,"ALL","SEE CHART BC-9",,
1428,42,0,10,197,"2"" & LARGER","CLASS 300 STEEL : SWING, RAISED FACE FLGD,NACE",,
1429,42,0,10,447,"1/2"" - 1-1/2""","CLASS 800 STEEL : HORIZONTAL LIFT, SW, NACE",,
1430,42,0,13,,"1/2"" - 3/4""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 6000",,
1431,42,0,13,,"1"" - 1-1/2""","FORGED STEEL SOCKETWELD ASTM A105, ANSI B16.11 : CLASS 3000",,
1432,42,0,13,,"2"" ONLY","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : XS WEIGHT",,
1433,42,0,13,,"3"" - 10""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : STD WEIGHT",,
1434,42,0,13,,"12"" - 24""","SEAMLESS STEEL BUTTWELDING ASTM A234 GR WPB, ASME B16.9 : WALL THICKNESS TO MATCH PIPE",,
1435,42,0,16,,"1/2"" - 3/4""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, SCHEDULE 160 BORE",,
1436,42,0,16,,"1"" - 1-1/2""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : SOCKETWELD, XS BORE",,
1437,42,0,16,,"2"" ONLY","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, XS BORE",,
1438,42,0,16,,"3"" - 10""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, STD WEIGHT BORE",,
1439,42,0,16,,"12"" - 24""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : WELDING NECK, BORE TO MATCH PIPE",,
1440,42,0,16,,"1/2"" - 24""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.5 : BLIND",,
1441,42,0,20,,"ALL","1/16"" THICK COMPRESSED ASBESTOS DURABLA BLACK OR EQUAL (FOR LAR ONLY)",,
1442,42,0,20,,"ALL","1/16"" THICK FLEXIBLE GRAPHITE SHEET WITH 316SS TANG METAL INSERT. UNION CARBIDE GHE OR EQUAL (FOR CP ONLY)",,
1443,42,0,21,121,"1/2"" - 1-1/2""","CLASS 300 STEEL : RAISED FACE FLANGED, NACE",,
1444,42,0,21,122,"2"" & LARGER","CLASS 300 STEEL : RAISED FACE FLANGED, NACE",,
1445,42,0,21,391,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD, NACE",,
1446,42,0,21,392,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED, NACE",,
1447,42,0,23,673,"3/4""","4000# - 6000# MALE SOCKETWELD END : STEEL BAR STOCK, NACE, 1/2"" FNPT SIDE OUTLETS, INTEGRAL BLEED VALVE",,
1448,42,0,24,158,"2"" - 12""","CLASS 300 STEEL : RAISED FACE FLANGED,NACE",,
1449,42,0,24,427,"1/2"" - 1-1/2""","CLASS 800 STEEL : SOCKETWELD, NACE",,
1450,42,0,39,225,"2"" & LARGER","CLASS 300 STEEL : RAISED FACE FLGD, TFE SEAT, NACE",,
1451,42,0,39,355,"1"" - 1-1/2""","CLASS 600 STEEL : SOCKETWELD,NACE",,
1452,42,0,42,,"2"" ONLY","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, XS BORE",,
1453,42,0,42,,"3"" - 10""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, STD WEIGHT BORE",,
1454,42,0,42,,"12"" - 24""","CLASS 300 STEEL RAISED FACE ASTM A105 ASME B16.36, WITH JACK SCREWS AND 1/2"" SOCKETWELD TAPS : WELDING NECK, BORE TO MATCH PIPE",,
1455,42,0,43,,"1/2"" - 3/4""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : SCHEDULE 160",,
1456,42,0,43,,"1"" - 1-1/2""","SEAMLESS STEEL ASTM A106 GR B OR ASTM A53 GR B, ASME B36.10M : XS WEIGHT",,
1457,42,0,43,,"2"" ONLY","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : XS WEIGHT",,
1458,42,0,43,,"3"" - 10""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : STD WEIGHT",,
1459,42,0,43,,"12"" - 24""","SEAMLESS STEEL ASTM A53 GR B OR API 5L GR B, ASME B36.10M : CALCULATE WALL THICKNESS (STD WEIGHT MINIMUM)",,
1460,42,0,48,,"1/2"" - 1-1/2""","STEEL ASTM A105, ANSI B16.11 : ROUND HEAD SOLID, SCREWED",,
1461,42,0,49,,"ALL","SEE DWG APCO-DWG-P-38 IN ENGINEERING STD. 202 (C.P. ONLY). FOR LAR, SEE DWG I-24502, PAGES I-14 THRU I-22.",,
1462,42,0,56,,"ALL","SEE DWG APCO-DWG-P-30 IN ENGINEERING STD. 202",,
1463,42,0,65,,"ALL","NOT ALLOWED - USE FLANGES",,
1464,42,0,66,,"ALL","SEE DWG APCO-DWG-P-37 IN ENGINEERING STD. 202",,
1465,43,0,4,402,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD API 602",,
1466,43,0,4,403,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD/SCREWED API 602",,
1467,43,0,4,145,"1/2""-1-1/2""","CLASS 300 STEEL : RAISED FACE FLGD. API 602",,
1468,43,0,4,145,"2"" ONLY","CLASS 300 STEEL : RAISED FACE FLANGED",,
1469,43,0,5,438,"1/2""-1-1/2""","CLASS 800 STEEL : SOCKETWELD",,
1470,43,0,5,184,"2"" ONLY","CLASS 300 STEEL : RAISED FACE FLANGED",,
1471,43,0,6,,"ALL","ASTM A193, B7 STUD, WITH 2 HEAVY HEXNUTS ASTM A194, GR 2H",,
1472,43,0,7,,"ALL","SEE CHART BC-9",,
