id,class_code,archived,service,flange_rating,max_pressure,max_temp,corrosion_allow,piping_material,small_fitting,valve_body_material,valve_trim,gasket_material,gasket_bolting,instr_spec,comments,special_note,maintenance_note,created_at,updated_at
83,FQ  ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 600 RJ,ASME B16.5,1000F,"0.0625""",321SS,CL 3000 SW,347SS,347SS/ STEL,347SS OVAL RING,B16 STUD,S-4,PWHT FOR SERVICE,"A.	  DRAIN AND LOW POINT PIPING 	         	MATERIALS FOR DRAIN AND LOW POINT PIPING SHALL BE INCOLOY ALLOY 825 FOR WELDOLET, SOCKOLET, AND PIPE NIPPLE(S), AND 347 STAINLESS STEEL BLOCK VALVE(S) (DOUBLE BLOCK). PIPING DOWNSTREAM OF THE SECOND BLOCK VALVE MAY BE 321 STAINLESS STEEL.  THE INCOLOY ALLOY 825 SHALL CONFORM TO THE FOLLOWING:  	PIPE:	SEAMLESS, INCOLOY ALLOY 825 (UNS N08225), ASTM B423, ANNEALED,      	   	PLAIN ENDS, ALLOWABLE STRESSES IN ACCORDANCE WITH ASME SECTION 		VIII DIV. 1 LATEST EDITION, CHEMICAL AND MECHANICAL PROPERTIES 		IN ACCORDANCE WITH THE INCO ALLOYS INTERNATIONAL PUBLICATION 		ENTITLED ""INCOLOY ALLOY 825"",  LATEST EDITION.    			 	1/2"" - 1-1/2""          SCHEDULE 80S 	2""  &  LARGER    CALC WALL THICKNESS 	 	FLANGES: CLASS 1500, RTJ, FORGED INCOLOY 825 (UNS N08225), ASTM B564, 		ANNEALED, ALLOWABLE STRESSES IN ACCORDANCE WITH  INCO ALLOY 		INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"", LATEST  		EDITION. THE FINISHED PRODUCT SHALL BE LIQUID PENETRANT 		EXAMINED ON ALL ACCESSIBLE SURFACES IN ACCORDANCE WITH ASTM 		RECOMMENDED PRACTICE E 165.  		1/2"" - 1-1/2""              SOCKETWELD, SCHEDULE 80S BORE 		2"" AND LARGER      WELD NECK, BORE TO MATCH PIPE  	WELDOLET/ 	SOCKOLET:	FORGED INCOLOY ALLOY 825  (UNS N08225), ASTM B564, ANNEALED,  ALLOWABLE STRESSES IN ACCORDANCE WITH ASME SECTION VIII, DIV. I, LATEST EDITION, CHEMICAL AND MECHANICAL PROPERTIES IN ACCORDANCE WITH THE INCO ALLOY INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"", LATEST EDITION. THE FINISHED PRODUCT SHALL BE LIQUID PENETRANT EXAMINED ON ALL ACCESSIBLE SURFACES IN ACCORDANCE WITH ASTM RECOMMENDED PRACTICE E 165. 	 B.	 POSTWELD HEAT TREATMENT  	POSTWELD HEAT TREATMENT IS REQUIRED FOR 321SS PIPING BUTTWELDS (SW 	EXCLUDED), INCLUDING BUTTWELDS BETWEEN 321SS AND INCOLOY 825. BUTTWELDS 	BETWEEN PIPING AND 347SS VALVES, BETWEEN 347SS DRAIN VALVES AND INCOLOY 	825 PIPE AND ALL WELDS IN THE 321SS PIPING DOWNSTREAM OF THE DRAIN VALVES 	NEED NOT BE POSTWELD HEAT TREATED.  ",,,
84,GA  ,0,"H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER), HIGH PRESSURE PROCESS WATER",CL 900 RJ,ASME B16.5,500F,"0.0625""",CARBON STEEL,CL 6000 SW,CARBON STEEL,12 CR/ STEL,SOFT IRON OVAL RING,B7 STUD,S-2,,,"A. 	EXISTING PLUG VALVES SHOULD BE REPLACED WITH ORBIT VALVES. 				 	B.	FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES. ",,
85,GAC ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 900 RJ,ASME B16.5,750F,"0.125""",CARBON STEEL,CL 6000 SW,CARBON STEEL,12 CR/ STEL,SOFT IRON OVAL RING,B7 STUD,S-2,,,"A.	EXISTING PLUG VALVES SHOULD BE REPLACED WITH ORBIT VALVES. 					 B.	FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES.	 ",,
86,GACN,0,"WET  SOUR GAS, SOUR H2O, ACID GAS",CL 900 RJ,ASME B16.5,750F,"0.125""",CARBON STEEL,CL 6000 SW,CARBON STEEL,316SS/ STEL,SOFT IRON OVAL RING,B7 STUD,S-2,NACE REQUIRED,A.	NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  B.	VALVES TO HAVE NACE TRIM. BONNET BOLTS MAY BE ASTM A193 GRADE B7 WITH 2H 	NUTS. ,"A.	FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND 	COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES.",,
87,GAD ,0,HYDROCARBON LIQUID & VAPOR,CL 900 RJ,ASME B16.5,750F,"0.0625""",CARBON STEEL,CL 6000 SW,CARBON STEEL,12 CR/ STEL,SOFT IRON OVAL RING,B7 STUD,S-2,,,"FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND 	COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES.",,
88,GCG ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 900 RJ,ASME B16.5,750F,"0.125""",1-1/4CR - 1/2 MO,CL 6000 SW,1-1/4CR - 1/2 MO,12 CR/ STEL,5CR - 1/2 MO  OVAL RING,B7 STUD,S-2,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,"FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND 	COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES.",,
89,GD  ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 900 RJ,ASME B16.5,750F,"0.125""",2-1/4C4 - 1 MO,CL 6000 SW,2-1/4CR - 1 MO,12 CR/ STEL,5CR -1/2MO OVAL RING,B7 STUD,S-2,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS  OF  WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,"FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND 	COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES.",,
90,GQ  ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 900 RJ,ASME B16.5,1000F,"0.0625""",321SS,CL 3000 SW,347SS,347SS/ STEL,347SS  OVAL RING,B16 STUD,S-5,PWHT FOR SERVICE,"A.	  DRAIN AND LOW POINT PIPING 	         	MATERIALS FOR DRAIN AND LOW POINT PIPING SHALL BE INCOLOY ALLOY 825 FOR WELDOLET, SOCKOLET AND PIPE NIPPLE(S), AND 347 STAINLESS STEEL BLOCK VALVE(S) (DOUBLE BLOCK). PIPING DOWNSTREAM OF THE SECOND BLOCK VALVE MAY BE 321 STAINLESS STEEL.  THE INCOLOY ALLOY 825 SHALL CONFORM TO THE FOLLOWING:  	PIPE:	SEAMLESS, INCOLOY ALLOY 825 (UNS N08225), ASTM B423, ANNEALED,      	   	PLAIN ENDS, ALLOWABLE STRESSES IN ACCORDANCE WITH ASME SECTION 		VIII DIV. 1 LATEST EDITION, CHEMICAL AND MECHANICAL PROPERTIES 		IN ACCORDANCE WITH THE INCO ALLOYS INTERNATIONAL PUBLICATION 		ENTITLED ""INCOLOY ALLOY 825"",  LATEST EDITION.    			 	1/2"" - 1-1/2""          SCHEDULE 80S 	2""  &  LARGER    CALC WALL THICKNESS 	 	FLANGES: CLASS 1500, RTJ, FORGED INCOLOY 825 (UNS N08225), ASTM B564, 			ANNEALED, ALLOWABLE STRESSES IN ACCORDANCE WITH  INCO ALLOY 	INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"", 	LATEST 	EDITION. THE FINISHED PRODUCT SHALL BE LIQUID PENETRANT 	EXAMINED ON ALL ACCESSIBLE SURFACES IN ACCORDANCE WITH ASTM 	RECOMMENDED PRACTICE E 165. 	 		1/2"" - 1-1/2""              SOCKETWELD, SCHEDULE 80S BORE 		2"" AND LARGER      WELD NECK, BORE TO MATCH PIPE  	WELDOLET/ 	SOCKOLET:	FORGED INCOLOY ALLOY 825  (UNS N08225), ASTM B564, ANNEALED,  ALLOWABLE STRESSES IN ACCORDANCE WITH ASME SECTION VIII, DIV. I, LATEST EDITION, CHEMICAL AND MECHANICAL PROPERTIES IN ACCORDANCE WITH THE INCO ALLOY INTERNATIONAL PUBLICATION ENTITLED ""INCOLOY ALLOY 825"", LATEST EDITION. THE FINISHED PRODUCT SHALL BE LIQUID PENETRANT EXAMINED ON ALL ACCESSIBLE SURFACES IN ACCORDANCE WITH ASTM RECOMMENDED PRACTICE E 165. 	 B.	 POSTWELD HEAT TREATMENT  	POSTWELD HEAT TREATMENT IS REQUIRED FOR 321SS PIPING BUTTWELDS (SW 	EXCLUDED), INCLUDING BUTTWELDS BETWEEN 321SS AND INCOLOY 825. BUTTWELDS 	BETWEEN PIPING AND 347SS VALVES, BETWEEN 347SS DRAIN VALVES AND INCOLOY 	825 PIPE AND ALL  WELDS IN THE 321SS PIPING DOWNSTREAM OF THE DRAIN VALVES 	NEED NOT BE POSTWELD HEAT TREATED.          ","FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION AND 	COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES.",,
91,HA  ,0,"H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER), HIGH PRESSURE PROCESS WATER, AMMONIA",CL 1500 RJ,ASME B16.5,500F,"0.0625""",CARBON STEEL,CL 6000 SW,CARBON STEEL,12 CR/ STEL,SOFT IRON OVAL RING,B7 STUD,S-2,,"A.	NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN AMMONIA SERVICE.  B.	FOR AMMONIA SERVICE, USE SINGLE SEATED VALVES, e.g., GLOBE, 	ORBIT. DO NOT USE DOUBLE SEATED VALVES, e.g., GATE,  	TWIN SEAL. ","A.	EXISTING PLUG VALVES SHOULD BE REPLACED WITH ORBIT VALVES. 				 B.		FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END 		DIMENSION AND COMPARE WITH CURRENT DIMENSIONS OF 		APPROVED VALVES.	 ",,
92,HAC ,0,H2 OR H2HC MIXTURES (H2 PARTIAL PRESSURE 50 PSIA OR GREATER),CL 1500 RJ,ASME B16.5,750F,"0.125""",CARBON STEEL,CL 9000 SW,CARBON STEEL,12 CR/ STEL,SOFT IRON OVAL RING,B7 STUD,S-2,,,"A.	EXISTING PLUG VALVES SHOULD BE REPLACED WITH ORBIT VALVES. 	 B.		FOR VALVE REPLACEMENT, FIELD VERIFY EXISTING END-TO-END DIMENSION 	AND COMPARE WITH CURRENT DIMENSIONS OF APPROVED VALVES.",,
1,A   ,0,GRAVITY SEWERS,CL 125/ 150 FF,ATMOS.,AMBIENT,NONE,CAST IRON & CONCRETE,NONE,DUCTILE IRON,MFGR STD,NEOPRENE,A307 BOLT,NONE,,,,,
2,AA  ,0,OPEN ENDED PIPING DOWNSTREAM OF LAST BLOCK VALVE,CL 150 RF,ATMOS.,500F,NONE,CARBON STEEL,CL 2000 SCRD,NONE,NONE,COMP. ASB./ GRAPH.,B7 STUD,NONE,,,,,
3,BA  ,0,BLACK WATER (CALCINER UNIT),CL 125 FF/ 150 RF,100 PSIG,100F,"0.0625""",CARBON STEEL,NONE,CAST SEMI-STEEL,316SS,NATURAL RUBBER,A307  BOLT,NONE,,,,,
4,BV  ,0,"WATER TREATMENT CHEMICALS (SODIUM HYPOCHLORITE, DISPERSANT, SODIUM BROMIDE)",CL 125 FF,100 PSIG,125F,NONE,PVC,SOLID PVC,SOLID PVC,PVC/  TFE,EPDM,A307 BOLT,NONE,,"A.	INSTALLATION, JOINT MAKE-UP AND TESTING SHALL BE IN ACCORDANCE WITH MANUFACTURER'S RECOMMENDATIONS.  B.	ALL BOLTS SHALL BE INSTALLED WITH WASHERS UNDER HEAD AND NUT.  BOLT TORQUE SHALL BE IN STRICT ACCORDANCE WITH MANUFACTURER'S RECOMMENDATIONS.  C.	THIS LINE CLASS MAY BE USED DOWNSTREAM OF PRIMARY BLOCK VALVE. USE LINE CLASS ""CY"" FOR PIPING UPSTREAM OF PRIMARY BLOCK VALVE, INCLUDING VALVE. ",,,
5,CA  ,0,"HYDROCARBON LIQUID & VAPOR, NITROGEN, PROCESS AIR, AMMONIA, MTBE",CL 150 RF,ASME B16.5,500F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,COMP. ASB./ GRAPH.,B7 STUD,S-1,,"A	NO COPPER OR COPPER BEARING  ALLOYS PERMITTED IN AMMONIA SERVICE.  B	FOR AMMONIA SERVICE, USE SINGLE SEATED VALVES (E.G., GLOBE, ORBIT). DO NOT USE DOUBLE SEATED VALVES (E.G. GATE, TWIN SEAL). ","EXISTING PLUG VALVES SHOULD BE REPLACED WITH BALL OR ORBIT VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE  VALVE CODE NUMBERS ARE: V01700,V03710.",,
6,CAA ,0,HYDROCARBON LIQUID & VAPOR,CL 150 RF,ASME B16.5,750F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,SPIRAL WND. GRAPHITE,B7 STUD,S-1,,,,,
7,CAB ,0,H2 OR H2HC MIXTURES (H2 PARTIAL  PRESSURE 50 PSIA OR GREATER),CL 150 RF (125-250AARH),ASME B16.5,750F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12CR/STEL,SPIRAL WND GRAPHITE,B7 STUD,S-1,,,"EXISTING 1"" AND LARGER PLUG VALVES MAY BE REPLACED WITH ORBIT VALVES,     3/4"" AND SMALLER PLUG VALVES REPLACE WITH GATE VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBERS ARE: V01707, V03711.",,
8,CAC ,0,"HYDROCARBON LIQUID & VAPOR, DRY SOUR GAS, BRINE",CL 150 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,12CR/ STEL,COMP. ASB/ GRAPH.,B7 STUD,S-1,REFER TO CACN & CAC3,REFER TO CLASSES CACN AND CAC3 FOR OTHER SERVICES.,"	A.	WELD REPAIRS TO EXISTING LINES ORIGINALLY BUILT TO THIS LINE CLASS 	CONTAINING AMINE OR CAUSTIC SHALL BE STRESS RELIEVED, EXCEPT 	SOCKETWELDS ON LINES OPERATING AT 120OF OR LESS, REGARDLESS OF STEAM-OUT 	CONDITIONS. CAUSTIC IS DEFINED AS 5 WT % OR GREATER. 	 	B. EXISTING PLUG VALVES SHOULD BE REPLACED WITH BALL OR ORBIT VALVES 	SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN 	KIND, THE APPLICABLE VALVE CODE NUMBERS ARE: V01700, V03710.",,
9,CAC2,0,"RICH AMINE (MEA, DEA, MDEA)",CL 150 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,316SS/STEL,COMP ASB/ GRAPH.,B7 STUD,S-1,"NACE REQUIRED, PWHT FOR SERVICE","A.	NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  B.	VALVES TO HAVE NACE TRIM. BONNET BOLTS MAY BE ASTM A193 GRADE B7 WITH 2H 	NUTS.  C.	ALL CARBON STEEL WELDS SHALL BE STRESS RELIEVED, EXCEPT SOCKETWELDS IN 	CAUSTIC AND AMINES IN LINES OPERATING AT 120OF OR LESS, REGARDLESS OF STEAM-	OUT CONDITIONS. CAUSTIC IS DEFINED AS 5 WT% OR GREATER. ",,,
10,CAC3,0,"LEAN AMINES  (DEA, MEA, MDEA), CAUSTIC (FRESH & SOUR)",CL 150 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,12 CR/ STELL.,COMP ASB/ GRAPH.,B7 STUD,S-1,PWHT FOR SERVICE. PREVIOUSLY CAC AND CAW,"A.	ALL CARBON STEEL WELDS SHALL BE STRESS RELIEVED, EXCEPT SOCKETWELDS IN CAUSTIC AND AMINE LINES OPERATING AT 120oF OR LESS, REGARDLESS OF STEAM-OUT CONDITIONS.  CAUSTIC IS DEFINED AS 5 WT% OR GREATER.  B.	NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN AMINE SERVICE.  C.	THESE SERVICES WERE PREVIOUSLY IN LINES CLASSES CAC AND CAW.   ","A.	EXISTING PLUG VALVES SHOULD BE REPLACED WITH BALL OR ORBIT VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE  REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBERS ARE: V01700, V3710.",,
11,CACN,0,"SOUR WATER, WET SOUR GAS,  ACID GAS",CL 150 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,316SS/  STELL.,COMP. ASB/ GRAPH.,B7 STUD,S-1,NACE REQUIRED. PREVIOUSLY CAC,A.	NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  B.	VALVES TO HAVE NACE TRIM. BONNET BOLTS MAY BE ASTM A193 GRADE B7 	WITH 2H 	NUTS.  C.	THESE SERVICES WERE PREVIOUSLY IN LINE CLASS CAC. ,"A.	EXISTING PLUG VALVES SHOULD BE REPLACED WITH BALL OR ORBIT VALVES  SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE  REPLACED IN KIND, THE APPLICABLE VALVE  CODE NUMBERS ARE: V01701, V03702.",,
12,CAD ,0,"HYDROCARBON LIQUID & VAPOR, PROCESS GAS (SULFUR PLANT)",CL 150 RF,ASME B16.5,750F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,12 CR/ STELL.,SPIRAL WND. GRAPHITE,B7 STUD,S-1,,,,,
13,CAE ,0,SULFURIC ACID (90% THRU 98%),CL 150 RF,150 PSIG,110F,"0.125""",CARBON STEEL,BW,ALLOY 20,ALLOY 20,GYLON,B7 STUD,S-3,,A.	USE GTAW PROCESS FOR WELDING ROOT PASS ON ALL BUTTWELDS.  B.	LIMIT LINE VELOCITY TO 3.0 FPS.  USE LINE CLASS CX FOR VELOCITIES 	OVER 3.0 FPS AND UP TO 10.0 FPS.  C.	USE ALLOY 20 BUTTWELD FITTINGS TO AVOID EXCESSIVE CORROSION DUE TO 	TURBULENCE. ,,,
14,CAH ,0,"STEAM, COND., BFW, BLOWDOWN 150 PSIG AND LOWER",CL 150 RF,ASME B16.5,500F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,COMP. ASB/ GRAPH.,B7 STUD,S-1,,ALL CARBON STEEL PIPE WELDING IN BOILER CIRCULATING SYSTEMS THAT SEE CAUSTIC SERVICE SHALL BE STRESS RELIEVED.,,,
15,CAHS,0,STEAM TRACING,NONE,SEE LINE CLASS,,NONE,(TUBING),NONE,NONE,NONE,NONE,,S-7,,A.	USE STEEL TUBING MATERIAL WHERE EXTERNAL VAPORS ARE CORROSIVE TO COPPER.  B.	COPPER TUBING SHALL NOT BE USED FOR TRACING ALUMINUM LINES.  C.	COPPER TUBING SHALL NOT BE USED IN SULFUR PLANT. ,,,
16,CAI ,0,OXYGEN,CL 150 RF,230 PSIG,500F,"0.0625""",CARBON STEEL/ MONEL,CL 3000 SW,MONEL,MONEL,GYLON,B7 STUD,S-1,,"A.	ALL VALVES SHALL BE CHEMICALLY CLEANED AND PACKAGED FOR OXYGEN SERVICE.  VALVE PACKING SHALL BE TEFLON.  B.	FLUID VELOCITY SHALL BE LIMITED TO 200 FEET PER SECOND. HIGHER VELOCITIES REQUIRE MONEL PIPING.  C.	THE INSTALLED PIPING SYSTEM SHALL BE MECHANICALLY AND CHEMICALLY CLEANED TO REMOVE CONTAMINANTS SUCH AS OIL, GREASE, LUBRICANTS, PAINTS, ETC. AND PARTICULATES SUCH AS WELD SLAG AND METAL CHIPS FROM MACHINING AND CUTTING OPERATIONS.  D.	FILTERS MADE OF MONEL SHALL BE INSTALLED UPSTREAM OF PRESSURE REDUCING REGULATORS AND CONTROL VALVES TO CATCH PARTICULATES.  E.	USE TEFLON TAPE FOR THREADED JOINTS.  DO NOT USE THREAD COMPOUND.  F.	FOR TEMPERATURES BELOW  -20OF, USE MONEL PIPING. BOLTING SHALL BE 304SS STUD BOLTS TO ASTM A320 GRADE L8 WITH NUTS TO ASTM A 194 GRADE 8. ",,,
17,CAJ ,0,COOLING WATER (ABOVEGROUND),CL 150 RF,150 PSIG,150F,"0.0625""",CARBON STEEL,CL 2000 SCREWED,CARBON STEEL/ BRONZE,12 CR/ STELL./ BRONZE,COMP. ASB/ GRAPH.,B7 STUD,S-1,,,,,
18,CAK ,0,COOLING WATER (UNDERGROUND),CL 125 FF/ CL 150 FF,150 PSIG,150F,"0.0625""",CARBON STEEL,NONE,CAST IRON,BRONZE,COMP ASB/ GRAPH.,B7 STUD,S-1,,,,,
19,CAL ,0,"PLANT AIR, SERVICE OR UTILITY WATER (ABOVE OR BELOW GROUND)",CL 150 RF,150 PSIG,150F,"0.0625""",GALV. CARBON STEEL & CARBON STEEL,CL 300 M.I. SCREWED,CARBON STEEL/ BRONZE,12 CR/ STELL./ BRONZE,COMP. ASB/ GRAPH.,B7 STUD,S-1,,,,,
20,CALC,0,POTABLE WATER (ABOVE AND BELOW GROUND),CL 150 RF/ CL125 FF,150 PSIG,150F,NONE,GALV. CEMENT LINED CARBON STEEL,CL 300 M.I. SCREWED,CARBON STEEL/ BRONZE/ CAST IRON,12 CR/ STELL./ BRONZE,RED RUBBER,B7 STUD,S-1,,,,,
21,CALW,0,"DOCK  OFFSITE:  POTABLE WATER, PLANT AIR",CL 150 RF,150 PSIG,100F,NONE,GALVANIZED CARBON STEEL,CL 300 M.I. SCREWED,CAST IRON/ BRONZE,MFGR. STD.,COMP. ASB/ GRAPH.,B7 STUD,S-1,FOR CP ONLY,,,,
22,CAM ,0,"FIRE WATER (UNDERGROUND & ABOVEGROUND), OFFSITE EFFLUENT WATER (UNDERGROUND)",CL 125 FF/ CL 150 RF,150 PSIG,150F,"NONE(UG), 0.0625""(AG)",CEMENT LINED GALV. CS & CARBON STEEL,CL 2000 SCREWED,CAST IRON/ CARBON STEEL,MFGR. STD/ 12 CR/ STELL.,COMP. ASB/ GRAPH.,B7 STUD,S-1,,,,,
23,CAN ,0,INSTRUMENT AIR,CL 150 RF,ASME B16.5,100F,"0.0625""",GALV.  CS & CARBON STEEL,CL 300 M.I. SCREWED,CARBON STEEL/ BRONZE,12 CR/ STELL./ BRONZE,COMP. ASB/ GRAPH.,B7 STUD,S-8,,,,,
24,CAO ,0,"OFFSITE & DOCK OFFSITE: HYDROCARBON LIQUID & VAPOR, CRUDE, JET FUEL, BALLAST WATER, BUNKER FUEL OIL, EFFLUENT WATER (ABOVEGROUND)",CL 150 RF,150 PSIG,150F,"0.125""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,COMP. ASB/ GRAPH.,B7 STUD,S-1,FOR CP ONLY,,"EXISTING PLUG VALVES SHOULD BE REPLACED WITH BALL OR ORBIT VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG HAVE VALVES HAVE TO BE  REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBERS ARE: V01700,  V03710.",,
25,CAP ,0,"BOILER EXTERNAL PIPING (ASME B31.1): STEAM, CONDENSATE, BOILER FEEDWATER, BLOWDOWN",CL 150 RF,ASME B16.5,500F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,COMP. ASB/ GRAPH.,B7 STUD,S-1,,,,,
26,CAW3,0,LEAN & SEMI-LEAN CATACARB,CL 150 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,316SS/ STELL.,COMP. ASB/ GRAPH.,B7 STUD,S-1,PWHT FOR SERVICE,A.	ALL CARBON STEEL PIPE WELDING SHALL BE STRESS RELIEVED.  B.	NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE. ,"A.	EXISTING PLUG VALVES SHOULD BE REPLACED WITH BALL OR ORBIT VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBERS ARE: V01704, V03706.",,
27,CAY ,0,LIQUID SULFUR,CL 150 RF,ASME B16.5,400F,"0.125""",CARBON STEEL/ JACKETED,CL 3000/ SCREWED,CARBON STEEL JACKETED,C.S.,COMP. ASB/ GRAPH.,B7 STUD,NONE,FLEX HOSE,"A.	ALL JACKETED PIPING SHALL HAVE APPROVED FABRICATION DRAWINGS. FOR DETAILS, REFERENCE DRAWING NO. LD-28-1710-02 AT CHERRY POINT AND DRAWING NO. PL-31880, SHEETS 1 THRU 6, AT THE LOS ANGELES REFINERY.  B.	ALL TURNS SHALL BE MADE WITH FITTINGS WITH FLANGED CLEANOUTS. PIPE BENDS FOR EXPANSION SHALL HAVE FLANGED ENDS FOR BREAKOUT.  C.	ALL RUNS OF PIPE SHALL CONTAIN SUFFICIENT NUMBERS OF BREAKOUT FLANGES.  MAXIMUM LENGTH OF PIPE WITHOUT BREAKOUT FLANGES IS 40' 0"".   D.	STEAM JACKETS SHALL HAVE CONNECTIONS FOR JUMPOVERS AT ALL FLANGES.  E.	SUFFICIENT CONNECTIONS FOR STEAMING, BLOWING AND DRAINING SHALL BE PROVIDED ON ALL SULFUR LINES.  F.	STRESS ANALYSIS REQUIRED FOR ALL JACKETED PIPING SYSTEMS.  G.	NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE. ",,,
28,CE  ,0,CORROSIVE HYDROCARBON LIQUID & VAPOR,CL 150 RF,ASME B16.5,850F,"0.125""",5CR-1/2 MO,CL 3000/ 6000 SW,5CR-1/2MO,12 CR/ STELL.,SPIRAL WND. GRAPHITE,B7 STUD,S-1,PWHT FOR SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE  STRESS RELIEVED REGARDLESS  OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,,,
29,CFA ,0,CORROSIVE HYDROCARBON  LIQUID & VAPOR,CL 150 RF,ASME B16.5,850F,"0.125""",9CR-1MO,CL 3000/ 6000 SW,9CR-1MO,12 CR/ STELL.,SPIRAL WND. GRAPHITE,B7 STUD,S-1,PWHT FOR  SERVICE,ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.,,,
