id,vendor_no,name,email,account_no,address,city,state,zip,country,telephone,fax,contact_name,contact_telephone,notes,lock_version,updated_at
178,0080345233-052506,"INDEPENDENT THERMAL SOLUTIONS, INC.",,,2101 S. STANDARD AVENUE #G,Santa Ana,CA,92707,USA,714-979-9544,714-979-9540,,,,0,
179,0080290511-20024,"IRWIN INDUSTRIES, INC.",,,2679 REDONDO AVE.,Long Beach,CA,90806,USA,562-595-4747,562-595-8859,,,,0,
180,0080294664-003475,"J.A. EDMONSON, INC.",,,P.O. Box 55455,Valencia,CA,91385,USA,661-259-8404,661-257-0604,BRUCE EDMONSON,JAEINC@EARTHLINK.NET,,0,
181,0080295238-008895,"J.T. THORPE & SON, INC.",,,14540 Alondra Boulevard,La Mirada,CA,90638,USA,714-670-9500,714-670-7600,,,,0,
182,0080308991-051905,"JACK RUBIN & SONS, INC.",,,13103 So. Alameda St.,Compton,CA,90222,USA,310-635-5407,310-632-1177,,,,0,
185,0080289655-005457,JPR SYSTEMS,,,"100 S. Chaparral Court, Suite 130",Anaheim Hills,CA,92808,USA,714-282-5600,714-282-7874,STEVE SCHENKER,,,0,
187,0080291381-111803,K-TEK,,,18321 Swamp Road,Prairieville,LA,70769,USA,225-673-6100,225-673-2525,,,,0,
189,,L&B PIPE & SUPPLY COMPANY,,,22515 SO WESTERN AVE,Torrance,CA,90501,USA,310 328-2060,323-775-2661,,,,0,
190,0080349224-090506,"LONESTAR FASTENERS, LP",,,24131 West Hardy Road,Spring,TX,77373,USA,281-353-1191,713-675-6204,Stephen Cabral,,,0,
191,0080343347-041206,"MODERN CUSTOM FABRICATION, INC.",,,2421 E. California Ave.,Fresno,CA,93721-3301,USA,559-264-4741,559-237-3413,,,,0,
192,0080293443-006272,MOORE INDUSTRIES C/O PATTEN SYSTEMS,,, 15201 Springdale St.,Huntington Beach,CA,92649,USA,714-799-5656,714-799-5353,,,,0,
193,,MOTOROLA,,,,,,,USA,,,,,,0,
194,0080290097-006601,NALCO CHEMICAL CO.,,,2111 East Dominguez,Long Beach,CA,90745,USA,866-216-8277,310-763-7698,Judy,,,0,
195,0080346229-062106,PACIFIC COAST TOOL & SUPPLY,,,3630 Placentia Court,Chino,CA,91710,USA,800-989-0948,909-628-5290,MICK,,,0,
196,0080313545-080805,"PATTEN SYSTEMS, INC.",,,15201 Springdale Street,Huntington Beach,CA,92649,USA,714-799-5656,714-799-5353,JOHN CAPITANO,,,0,
197,0080290023,"PEPPERL + FUCHS, INC.",,,1600 Enterprise Parkway,Twinsburg,OH,44087,USA,330-425-3555,330-963-5827,,,,0,
198,0080137454-042406,PERRY EQUIPMENT CORP.,,,FORT WOLTERS INDUSTRIAL PARK,Mineral Wells,TX,76068,USA,940-325-2575,940-325-4622,Jason Sadler,,,0,
199,0080230184-020703,"PETRECO INTERNATIONAL, INC.",,,4646 W Sam Houston Parkway North,Houston,TX,77041,USA,800-575-2477,713-369-6623,KAY MIKULEC,,,0,
200,0080294576-008961,"PONTON INDUSTRIES, INC.",,,"22901 Savi Ranch Parkway #B 22901 Savi Ranch Parkway, Suite B",Yorba Linda,CA,92887,USA,714-998 9073,714-998-9083,,,,0,
201,0080294831-007283,PRECISION INSTRUMENTATION CO.,,,13413 Benson Avenue,Chino,CA,91710,USA,909-590-0408,909-590 4146,PAUL OTTEMAN,,,0,
202,0080246412-011205,"QUEST-TEC SOLUTIONS, INC.",,,4003-D GREENBRIAR,STAFFORD,TX,77477,USA,281-240-0440,281-240-2440,,,,0,
203,0080289030-040406,RAMSAY MACHINE WORKS,,,2066 Henry Avenue,Sidney,BC,V8L 5Y1,Canada,250-656 5314,250-656-5388,,,,0,
204,0080294817-007731,ROSENS ELECTRICAL,,,8226 East Whittier Blvd.,Pico Rivera,CA,90660,USA,800 877-9870,562-699-5196,,,,0,
205,0080293446-006855,ROYAL WHOLESALE ELECTRIC,,,2801 East 208th Street,Carson,CA,90810,USA,310-637-6377,310-632-4581,,,,0,
206,0080300733-011806,SHERWIN-WILLIAMS COMPANY,,,17500 SOUTH MAIN STREET,GARDENA,CA,90248,USA,310-329-0831,310-323-6915,,,,0,
207,330532462-100802,SINCLAIR DRILLING FLUIDS,,,P.O. Box 92827,LONG BEACH,CA,90809,USA,562-436-5699,,,,,0,
208,0080289639-005912,"SKF CONDITION MONITORING, INC.",,,P.O. BOX 2125,,,,USA,619-440-5897,,,,,0,
209,0080346742-062806,SKF RELIABILITY SYSTEMS,,,1510 GEHMAN ROAD,KULPSVILLE,PA,19443,USA,215-513-4511,800-856-1475,,,,0,
210,0080289553-002417,SPX PROCESS EQUIPMENT C/O COPES VULCAN OPERATION,,,5620 West Road,McKean,PA,16426,USA,814-476-5834,814 450-5854,,,,0,
211,0080319506-013106,"TELAERIS, INC.",,,9123 Chesapeake Drive,San Diego,CA,92123,USA,858 627-9700,858 627-9702,,,,0,
212,0080290536-101204,THE RELIZON COMPANY,,,"2929 E. IMPERIAL HIGHWAY, STE #250",Brea,CA,92821,USA,714-223-1041,714 524-7311,FLORA VISCAINO,,,0,
213,0080289249-009014,TRANSCAT,,,10 Vantage Point Drive,Rochester,NY,14624,USA,800-828-1470,800-395-0543,JUDY WEBER,,,0,
214,0080294546-009061,"TRICONEX SYSTEMS, INC.",,,17146 FEATHERCRAFT LANE,WEBSTER,TX,77598,USA,281-709-1235,281-709-0015,,,,0,
217,0080301441-052105,VALVATE ASSOCIATES,,,15925 Minnesota Ave.,Paramount,CA,90723,USA,562-633-4300,562-630-2345,STEVE,,,0,
218,0080293279-009480,VERNON TOOL COMPANY,,,503 Jones Road,Oceanside,CA,92054,USA,760 433-5860,760-757-2233,BILL KESSLER,,,0,
219,0080344989-051806,WAGNER PLATEWORKS WEST LLC,,,14015 GARFIELD AVENUE,PARAMOUNT,CA,90723,USA,562-531-6050,562-531-4919,,,,0,
220,0080291414-041503,"ZEECO, INC.",,,22151 East 91st Street,Broken Arrow,OK,74104,USA,918-238-8551,918-251-5519,JESSE CHAMBERS,,,0,
221,0080289738-007540,RECON REFRACTORY ENGINEERING & CONSTRUCTION,,,P.O. BOX 93120,Long Beach,CA,90809,USA,562-988-7980,562-988-7989,,,,0,
222,0080301764-120804,"BLAST COAT SYSTEMS, INC.",,,9823 Crescent Center Drive,Rancho Cucamonga,CA,91730,USA,909-483-4200,909 483-4208,,,,0,
223,0080162074-081803,"SULZER CHEMTECH USA, INC.",,,4019 S. JACKSON AVENUE,TULSA,OK,74107,USA,707-746-8626,707-746-8178,JIM FRAIR,,,0,
224,0080250099,ENHANCED SEPARATION TECHNOLOGIES,,,1015 PARK AVE,PLAINFIELD,NJ,07060,USA,707-864-9391,310-359-0257,LAURA LYNNE,,,0,
226,0080035432-080906,"CONTROL COMPONENTS, INC.",,,22591 Avenida Empresa,Rancho Santa Margarita,CA,92688,USA,949-858-1877,949-858-3430,,,,0,
227,,WAREHOUSE STOCK ISSUE,,,,,,,USA,,,,,,0,
228,0080030209-006912,COOPER CAMERON VALVE,,,7200 INTERSTATE DRIVE,Little Rock,AR,72219,USA,800-643-6544,501-570-5700,,,,0,
229,0080295489-00031606,COOPER CAMERON VALVES,,,1400 LA PLATA HIGHWAY,Farmington,NM,87401,USA,505-326-4369,505-564-8191,,,,0,
232,,"METAL GOODS MANUFACTURING CO, INC.",,,309 WEST HENSLEY BLVD.,BARTLESVILLE,OK,74003-3695,USA,800-628-4282,918-336-8993,,,,0,
233,0080260283,ORION INSTRUMENTS C/O MAGNETROL,,,6646 COMPLEX DR,BATON ROUGE,LA,70809,USA,562-424-8108,562-424-5189,,,,0,
234,0080085835,"PETERSEN PRODUCTS CO, LLC",,,PO BOX 1018,MILWAUKEE,WI,53201,USA,800-926-1926,262-292-2418,,,,0,
235,,CED LONG BEACH,,,,,,,USA,,,,,,0,2007-4-19
236,0080289755-003501,ELECTRICAL SYSTEMS LTD.,,,2800 PALISADES DRIVE,CORONA,CA,92880-9427,USA,951 739-7000,951 739-7048,,,,0,
237,0080289673-005406,"JAYNE PRODUCTS, INC.",,,17904 SO. STAR OF INDIA LANE,CARSON,CA,90746,USA,310-715-3070,310-327-4906,ERIC ANDERSEN,,,0,
238,0080356838,FILIPINO EXPRESS,,,4544 BEACH BOULEVARD,BUENA PARK,CA,90621,USA,714-402-4739,,BALTAZAR TAMAYO,,,0,
239,,ROCKWELL AUTOMATION (BALDOR),,,1201 South Second Street,Milwaukee,WI,53204-2496,USA,414-382-2000,414-382-4444,,,,0,
240,0080036048-007721,"SOR, INC.",,,14685 WEST 105TH ST.,LENAXA,KS,66215-5964,USA,913-888-8851,913-888-0767,JACK STOCKTON,,,0,
241,0080290338-031604,BENTLY NEVADA LLC,,,1631 Bently Parkway South,MINDEN,NV,89423,USA,775-782-3611,775-215-2873,CRAIG KUGLER/LANDON BOYER,,,0,2007-4-16
242,0080294540,"TULSA FIN TUBE, INC.",,,2976 N. FLORENCE AVENUE,TULSA,OK,74110,USA,918-834-2366,918-834-1553,MARK HAAS,,,0,2007-4-16
243,0080294618,ZEMARC CORPORATION,,,2240 GASPAR AVE.,LOS ANGELES,CA,90040,USA,323-721-5598,323-722-2220,,,,0,2007-4-16
244,0080291779-121501,WESTERN MEASUREMENT EQUIPMENT,,,,,,,USA,N/A,,,,,0,2007-4-16
245,0080343052,PEERLESS MFG CO,,,2819 WULNUT HILL LANE,DALLAS,TX,75229,USA,214-357-6181,214-351-0194,SAM STEWART,,,0,2007-4-16
246,0080293073,O'BRIEN IRON WORKS,,,2043 ARNOLD INDUSTRIAL WAY,CONCORD,CA,94520,USA,925 685-5300,925 685-2894,KEVIN MONAGHAN,925-586-6542,,0,2007-4-16
247,0080293257-10709,"JENSEN INSTRUMENT, CO.",,,643 SOUTH DUGGAN AVENUE,AZUSA,CA,91702,USA,626-969-7991,626-969-7991,,,,0,2007-4-16
248,0080227795-061604,"ELLIOTT CONTROL COMPANY, LTD.",,,1318 BAMMEL ROAD,HOUSTON,TX,77073,USA,936-228-5060,936-228-0939,STACY FENNELL,,,0,2007-4-16
249,0080234012-00349,"ELECTRIC MACHINERY COMPANY, INC.",,,800 Central Ave. NE,Minneapolis,MN,55413,USA,612-378-8083,612-378-8051,MARC PETERSON,,,0,2007-4-16
251,0080291750,BERGE'S GOVERNOR SERVICE,,,302 EAST D STREET,WILMINGTON,CA,90744,USA,310 830-4592,310 834-2976,,,,0,2007-4-16
252,0080201291,ASAP BUSINESS FORMS,,,7602 TALBERT UNIT 1,HUNTINGTON BEACH,CA,92648,USA,714-504-4145,714-841-4403,,,,0,2007-4-16
253,0080318654,CONCRETE TIE,,,,,,,USA,310-886-1000,310-638-8363,,,,0,2007-4-19
254,0080358751,APEX ENGINEERING PRODUCTS CORP,,,1241 SHORELINE DRIVE,AURORA,IL,60504,USA,800-451-6291,630-820-8886,TIM FREGEAU,,,0,2007-4-27
255,0080295271,B & K ELECTRIC WHOLESALE,,,,,,,USA,562 944-0336,562-944-7291,AL,,,0,2007-4-27
256,0080194810,CST CORP,,,2500 CENTRAL PARKWAY SUITE D,HOUSTON,TX,77092,USA,713 263-1300,713 263-1333,,,,0,2007-4-27
257,,TAPCOENPRO INTERNATIONAL,,,16315 MARKET STREET,CHANNELVIEW,TX,77530,USA,281-247-8100,281-452-5251,MARK TAYLOR,,,0,2007-4-27
258,0080290183-004619,GRAVER WATER SERVICES,,,750 Walnut Avenue,Cranford,NJ,07016,USA,800-560-9828,908-653-4300,,,,0,2007-4-30
259,0080290096-006040,MCMASTER-CARR SUPPLY CO.,,,9630 NORWALK,SANTA FE SPRINGS,CA,90670,USA,562-692-5911,562-695-2323,,,,0,2007-5-2
260,,GEORGE YARDLEY COMPANY INC.,,,3000 W. MACARTHUR BLVD SUITE 600,SANTA ANA,CA,92704,USA,714-241-7700,714-241-7770,JUDY SMITH,,,0,2007-5-2
261,0080288887-00060406,"SIEMENS WATER TECHNOLOGIES, CORP.",,,14250 GANNETT STREET,SANTA FE SPRINGS,CA,90670,USA,562-716-7193,714-521-2459,,,,0,2007-5-3
262,0080293322-001290,"BLAIR MARTIN CO, INC.",,,1500 E. BURNETT STREET,SIGNAL HILL,CA,90806,USA,562-595-8773,562-490-2773,DANIEL WILL / TOM KENERSON,,,0,2007-5-4
263,0080289818-006440,ACCURATE MEASUREMENT SYSTEMS,,,31280 FELICITA ROAD,TEMECULA,CA,92591,USA,949-218-9350,,JOHN MORAES,,,0,2007-5-7
264,0080294552-EDI,SWAGELOK,,,3940 GILMAN ST.,LONG BEACH,CA,90815,USA,805 384-1060,805-383-2046,RICHARD,562 755-0184,,0,2007-5-8
265,0080290430,MERIAM INSTRUMENT,,,15201 SPRINGDALE ST.,HUNTINGTON BEACH,CA,92649,USA,714-799-5656,714-799-5353,,,,0,2007-5-9
266,0080293356,BERENDSEN FLUID POWER,,,1106 WEST BARKLEY AVENUE,ORANGE,CA,92868,USA,562 921-3335,562 404-7819,DICK KALKBRENNER,,,0,2007-5-11
270,0080012970-010502,MAGNETROL INTERNATIONAL C/O BLAIR MARTIN,,,1500 E. BURNETT STREET,SIGNAL HILL,CA,90806,USA,560 595 8773,562 490-2773,KEVIN FOR TOM KENNERSON,,,0,2007-5-11
272,0080291913,THERMAL TECHNOLOGIES GROUP,andertrol@mindspring.com,,1451 Arlington drive,Salt Lake City,UT,84103,USA,801 328-4035,801 533-4309,Gary Anderson,,,0,2007-5-12
273,0080291477-000903,"BRENNTAG PACIFIC,  INC",,,10747 PATTERSON PLACE,SANTA FE SPRINGS,CA,90670,USA,562-903-9626,562-903-9431,,,,0,2007-5-14
274,0080242023,HARCROS CHEMICALS,,,,,,,USA,913 621-7747,913 621-7818,,,,0,2007-5-15
275,0080292322-001175,BENICIA FABRICATION & MACHINE,,,101 E. CHANNEL ROAD,BENICIA,CA,94510,USA,707-745-8111,707-745-8102,CARMELO SANTIAGO,707-745-8111,,0,2007-5-18
276,0080351301,B & G INDUSTRIAL RENTALS INC,,,1627 W 130TH STREET,GARDENA,CA,90249,USA,310-327-0804,310-3279174,,,,0,2007-5-24
277,0080294755,"BECKER TECHNICAL SALES, INC.",,,9261 IRVINE BLVD,IRVINE,CA,92618,USA,949 837-9229,949 837-9583,,,,0,2007-5-25
