Note_No,Note_Text,Last_Updt_Id,Last_Updt_Date
392,USE WHEN LINE TEMP. EXCEEDS 500F. MAXIMUM TEMP. IS 800F FOR THIS VALVE.,PCSSME,1999-6-25
393,ALL WELDS SHALL BE GROUND INSIDE AND OUT TO CREATE A SMOOTH TRANSITION AND ELIMINATE STRESS RISERS.,PCSSME,1999-6-29
402,ALL LINES MUST NOT EXCEED 30 DEGREES FROM VERTICAL.,PCSSME,1999-6-22
406,MINIMUM LINE SIZE SHALL BE 3/4\" EXCEPT INSTRUMENT\, VENTS\, DRAINS\, AND ORIFICE TAP CONNECTIONS.,PCSSME,1999-6-30
411, TO BE USED WHEN SHOWN ON THE DRAWINGS.,PCSSME,1999-6-21
418,10 DIAMETERS OF STRAIGHT PIPE IS REQUIRED UPSTREAM AND DOWNSTREAM OF THE VALVE.,PCSSME,1999-6-24
420,STAINLESS STEEL VALVE MAY BE SUBSTITUTED FOR LOW TEMP. CARBON STEEL (LTCS) VALVE PROVIDED THAT THE PRESSURE-TEMPERATURE RATING OF THE SS VALVE AND FLANGES MEET THE DESIGN CONDITIONS OF THE PROCESS. STAINLESS STEEL FLANGES HAVE LOWER RATING THAN LTCS.,PCSSME,1999-6-24
426,WHEN REQUIRED\, TAPER BORE TO ALIGN IN ACCORDANCE WITH ASME B31.3\, FIGURE 328.4.3.,PCSSME,1999-6-22
427,SPECIFY PIPE BORE WHEN ORDERING THIS VALVE.,PCSSME,1999-6-24
428,WHEN CONNECTING RF FLANGES TO FF NON-METALLIC FLANGES\, USE 1/8\" THICK FULL FACE NEOPRENE GASKET.,PCSSME,1999-6-28
450,FOR INTEGRALLY REINFORCED FITTINGS (WELDOLETS\, ETC.)\, SPECIFY ASTM A350 GR. LF2\, CLASS 1.,PCSSME,1999-6-24
451,ALL VALVES\, EXCEPT CHECK VALVES\, SHALL BE INSTALLED WITH THE STEM IN THE VERTICAL (UP) POSITION.,PCSSME,1999-6-28
452,THE VALVE DISC SHALL BE PROVIDED WITH BONNET CAVITY PRESSURE RELIEF. SEE VALVE V-SHEET.,PCSSME,1999-6-28
453,THE BALL SHALL BE PROVIDED WITH BODY CAVITY PRESSURE RELIEF. SEE VALVE V-SHEET.,PCSSME,1999-6-28
454,TIGHT-SHUT-OFF (TSO) CHECK VALVES SHALL BE USED ONLY WHERE IDENTIFIED IN THE P&IDS.,PCSSME,1999-6-28
455,THIS IS A FULL PORT VALVE. USE ONLY WHERE INDICATED IN THE P&IDs.,PCSSME,1999-6-28
456,USE ALLOY 20 PIPE NIPPLES FOR VENTS & DRAINS.,ASAHIDT,2002-7-19
