Valve_No,Valve_Comp_Name,Component_Text,Last_Updt_Id,Last_Updt_Date
V03408,BONNET                                            ,BOLTED\, OS&Y,,
V03408,DISC                                              ,PLUG TYPE\, NICKEL-COPPER (MONEL),,
V03408,ENDS                                              ,RAISED FACE FLANGED,,
V03408,OPERATOR                                          ,HANDWHEEL,,
V03408,PACKING                                           ,TEFLON,,
V03408,PORT                                              ,FULL,,
V03408,RATING                                            ,ASME CLASS 300,,
V03408,STANDARD                                          ,ASME B16.34,,
V03408,STEM                                              ,NICKEL-COPPER (MONEL),,
V03408,TRIM                                              ,DISC: NICKEL-COPPER (MONEL)\, SEAT: NICKEL-COPPER (MONEL),,
V03408,TYPE                                              ,GLOBE,,
V03409,BODY                                              ,CAST 316 STAINLESS STEEL\, ASTM A351\, GR. CF8M,,
V03409,BONNET                                            ,BOLTED\, OS&Y,,
V03409,DISC                                              ,PLUG TYPE,,
V03409,ENDS                                              ,RAISED FACE FLANGED (125-250 AARH FACING),,
V03409,OPERATOR                                          ,HANDWHEEL,,
V03409,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V03409,PORT                                              ,N/A,,
V03409,RATING                                            ,ASME CLASS 300,,
V03409,STANDARD                                          ,ASME B16.34,,
V03409,STEM                                              ,316 STAINLESS STEEL,,
V03409,TRIM                                              ,DISC: 316 STAINLESS STEEL\, SEAT: 316 STAINLESS STEEL\, CO CR-A HARDFACED,,
V03409,TYPE                                              ,GLOBE,,
V03410,BODY                                              ,CAST CARBON STEEL; ASTM A216\, GR. WCB,,
V03410,BONNET                                            ,BOLTED\, OS&Y,,
V03410,DISC                                              ,PLUG TYPE,,
V03410,ENDS                                              ,RAISED FACE FLANGED,,
V03410,OPERATOR                                          ,2\" - 4\" HANDWHEEL\, 6\" & LARGER GEAR WITH 80# MAX. HANDWHEEL RIM PULL BASED ON MAX. ALLOWABLE WORKING PRESSURE OF VALVE.,PCSSME  ,1998-11-16
V03410,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V03410,PORT                                              ,N/A,,
V03410,RATING                                            ,ASME CLASS 300,,
V03410,STANDARD                                          ,ASME B16.34,,
V03410,STEM                                              ,11-13% CR.,,
V03410,TRIM                                              ,PLUG: 11-13% CR.\, SEAT: 11-13% CR.\, CO CR-A HARDFACED,,
V03410,TYPE                                              ,GLOBE,,
V03411,BODY                                              ,CAST CARBON STEEL; ASTM A216\, GR. WCB,,
V03411,BONNET                                            ,BOLTED\, OS&Y,,
V03411,DISC                                              ,PLUG TYPE,,
V03411,ENDS                                              ,RAISED FACE FLANGED (125-250 AARH FACING),,
V03411,OPERATOR                                          ,2\" - 4\" HANDWHEEL\, 6\" & LARGER GEAR WITH 80# MAX. HANDWHEEL RIM PULL BASED ON MAX. ALLOWABLE WORKING PRESSURE OF VALVE.,PCSSME  ,1998-11-16
V03411,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V03411,PORT                                              ,N/A,,
V03411,RATING                                            ,ASME CLASS 300,,
V03411,STANDARD                                          ,ASME B16.34,,
V03411,STEM                                              ,11-13% CR.,,
V03411,TRIM                                              ,PLUG: 11-13% CR.\, SEAT: 11-13% CR.\, CO CR-A HARDFACED,,
V03411,TYPE                                              ,GLOBE,,
V03412,BODY                                              ,CAST 316LSS; ASTM A351\, GR. CF3M,,
V03412,BONNET                                            ,BOLTED\, OS&Y,,
V03412,DISC                                              ,SOLID\, PLUG TYPE,,
V03412,ENDS                                              ,SOCKETWELD,,
V03412,OPERATOR                                          ,HANDWHEEL,,
V03412,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V03412,PORT                                              ,N/A,,
V03412,RATING                                            ,ASME CLASS 300,,
V03412,STANDARD                                          ,ASME B16.34,,
V03412,STEM                                              ,316 STAINLESS STEEL,,
V03412,TRIM                                              ,PLUG: 316 STAINLESS STEEL\, SEAT: 316 STAINLESS STEEL\, CO CR-A HARDFACED,,
V03412,TYPE                                              ,GLOBE,,
V03413,BODY                                              ,CAST ALLOY 20; ASTM A351 OR A744\, GR. CN7M\, .03% MAX. CARBON CONTENT. PERFORM SURFACE CARBON ANALYSIS PER S23 OF ASTM A744.,PCSSME  ,2008-12-4
V03413,BONNET                                            ,BOLTED\, OS&Y,,2008-12-4
V03413,BONNET BOLTING                                    ,MANUFACTURER'S STANDARD (AUSTENITIC STAINLESS STEEL),PCSSME  ,2008-12-4
V03413,BONNET GASKET                                     ,PTFE\, GARLOCK \"GYLON\" 3500 (FAWN),PCS41CR ,2008-12-4
V03413,DISC                                              ,PLUG TYPE,,2008-12-4
V03413,ENDS                                              ,RAISED FACE FLANGED,,2008-12-4
V03413,OPERATOR                                          ,HANDWHEEL,,2008-12-4
V03413,PACKING                                           ,PTFE,,2008-12-4
V03413,PORT                                              ,N/A,,2008-12-4
V03413,RATING                                            ,ASME CLASS 300,,2008-12-4
V03413,STANDARD                                          ,ASME B16.34,,2008-12-4
V03413,STEM                                              ,ALLOY 20,,2008-12-4
V03413,TRIM                                              ,ALLOY 20,,2008-12-4
V03413,TYPE                                              ,GLOBE,,2008-12-4
V03414,BODY                                              ,CAST CARBON STEEL; ASTM A216\, GR. WCB,PCSSME  ,1997-2-21
V03414,BONNET                                            ,BOLTED\, OS&Y,PCSSME  ,1997-2-21
V03414,BONNET GASKET                                     ,FLEXIBLE GRAPHITE\, 316 SS TANG METAL INSERT\, UNION CARBIDE GHE,PCSSME  ,1997-2-21
V03414,DISC                                              ,PLUG TYPE,PCSSME  ,1997-2-21
V03414,ENDS                                              ,RAISED FACE FLANGED,PCSSME  ,1997-2-21
V03414,OPERATOR                                          ,2\" - 4\" HANDWHEEL\, 6\" & LARGER GEAR WITH 80# MAX. HANDWHEEL RIM PULL BASED ON MAX. ALLOWABLE WORKING PRESSURE OF VALVE.,PCSSME  ,1998-11-16
V03414,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,PCSSME  ,1997-2-21
V03414,PORT                                              ,N/A,PCSSME  ,1997-2-21
V03414,RATING                                            ,ASME CLASS 300,PCSSME  ,1997-2-21
V03414,STANDARD                                          ,ASME B16.34,PCSSME  ,1997-2-21
V03414,STEM                                              ,ALLOY 20,PCSSME  ,1997-2-21
V03414,TRIM                                              ,PLUG: ALLOY 20; SEAT: CARBON STEEL CO CR-A (STELLITE) HARDFACED,PCSSME  ,1997-2-21
V03414,TYPE                                              ,GLOBE,PCSSME  ,1997-2-21
V03415,BODY                                              ,CAST 347 STAINLESS STEEL; ASTM A351\, GR. CF8C,PCSSME  ,1997-4-18
V03415,BONNET                                            ,BOLTED\, OS&Y,PCSSME  ,1997-4-18
V03415,BONNET BOLTING                                    ,ASTM A193 GR. B8 AND NUTS TO ASTM A194 GR. 8,PCSSME  ,1997-4-18
V03415,DISC                                              ,PLUG TYPE,PCSSME  ,1997-4-18
V03415,ENDS                                              ,RAISED FACE FLANGED\, SMOOTH FINISH (125 - 250 AARH),PCSSME  ,1997-4-18
V03415,OPERATOR                                          ,2\" - 4\" HANDWHEEL\, 6\" & LARGER GEAR WITH 80# MAX. HANDWHEEL RIM PULL BASED ON MAX. ALLOWABLE WORKING PRESSURE OF VALVE.,PCSSME  ,1998-11-16
V03415,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF GARLOC 1303DRY BRAIDED CARBON YARN.,PCSSME  ,1997-4-18
V03415,PORT                                              ,N/A,PCSSME  ,1997-4-18
V03415,RATING                                            ,ASME CLASS 300,PCSSME  ,1997-4-18
V03415,SERVICE                                           ,HOT GASSES AT 1425F MAXIMUM DESIGN TEMPERATURE.,PCSSME  ,1997-4-18
V03415,STANDARD                                          ,ASME B16.34,PCSSME  ,1997-4-18
V03415,STEM                                              ,347 OR 321 STAINLESS STEEL,PCSSME  ,1997-4-18
V03415,TRIM                                              ,PLUG: 347 STAINLESS STEEL\, SEAT: 347 STAINLESS STEEL\, CO CR-A HARDFACED\, WELDED-IN SEAT RING,PCSSME  ,1997-4-18
V03415,TYPE                                              ,GLOBE,PCSSME  ,1997-4-18
V03416,BODY                                              ,FORGED 321H STAINLESS STEEL\, ASTM A182 GR. F321H,PCSSME  ,1997-4-18
V03416,BONNET                                            ,FORGED 321H SS\, ASTM A182 GR. F321H\, BOLTED\, OS&Y,PCSSME  ,1997-4-18
V03416,BONNET BOLTING                                    ,ASTM A193 GR. B8 AND NUTS TO ASTM A194 GR. 8,PCSSME  ,1997-4-18
V03416,DISC                                              ,PLUG TYPE,PCSSME  ,1997-4-18
V03416,ENDS                                              ,SOCKETWELD,PCSSME  ,1997-4-18
V03416,OPERATOR                                          ,HANDWHEEL,PCSSME  ,1997-4-18
V03416,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF GARLOC 1303DRY  BRAIDED CARBON YARN.,PCSSME  ,1997-4-18
V03416,PORT                                              ,N/A,PCSSME  ,1997-4-18
V03416,RATING                                            ,ASME CLASS 300,PCSSME  ,1997-4-18
V03416,SERVICE                                           ,HOT GASES AND AIR AT 55 PSIG AND  1425 DEGREES F.,PCS41CR ,1997-8-14
V03416,STANDARD                                          ,ASME B16.34,PCSSME  ,1997-4-18
V03416,STEM                                              ,321H STAINLESS STEEL,PCSSME  ,1997-4-18
V03416,TRIM                                              ,PLUG: 321H STAINLESS STEEL\, SEAT: 321H STAINLESS STEEL\, CO CR-A HARDFACED,PCSSME  ,1997-4-18
V03416,TYPE                                              ,GLOBE,PCSSME  ,1997-4-18
V03417,BODY                                              ,316L SS\, ASTM A182 GRADE F316L,PCSSME  ,1999-7-14
V03417,BONNET                                            ,EXTENDED\, BOLTED\, OS & Y,PCSSME  ,1999-7-14
V03417,DISC                                              ,PLUG TYPE,PCSSME  ,1999-7-14
V03417,ENDS                                              ,SOCKETWELD,PCSSME  ,1997-6-19
V03417,OPERATOR                                          ,HANDWHEEL,PCSSME  ,1999-7-14
V03417,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RINGS OF BRAIDED CARBON YARN,PCSSME  ,1999-7-14
V03417,RATING                                            ,ASME CLASS 300,PCSSME  ,1997-6-19
V03417,SERVICE                                           ,CRYOGENIC -150F,PCSSME  ,1999-7-23
V03417,STANDARD                                          ,ASME B16.34,PCSSME  ,1997-6-19
V03417,TRIM                                              ,DISC: 316 SS; SEAT: 316 SS CO CR-A HARDFACED,PCSSME  ,1999-7-14
V03417,TYPE                                              ,GLOBE\, CRYOGENIC,PCSSME  ,1997-6-19
V03418,BODY                                              ,LOW TEMP. CARBON STEEL\, ASTM A352 GRADE LCC,PCSSME  ,1999-7-13
V03418,BOLTING                                           ,ASTM A320\, GRADE L7 WITH A194 GRADE 4 NUTS,PCSSME  ,1999-7-13
V03418,BONNET                                            ,BOLTED OS & Y,PCSSME  ,1999-7-13
V03418,DISC                                              ,PLUG TYPE,PCSSME  ,1999-7-13
V03418,ENDS                                              ,RAISED FACE FLANGED,PCSSME  ,1999-7-13
V03418,OPERATOR                                          ,2\" - 4\" HANDWHEEL\, 6\" & LARGER GEAR WITH 80# HANDWHEEL RIM PULL BASED ON MAX. ALLOWABLE WORKING PRESSURE OF VALVE.,PCSSME  ,1999-7-13
V03418,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RINGS OF BRAIDED CARBON YARN,PCSSME  ,1999-7-13
V03418,RATING                                            ,ASME CLASS 300,PCSSME  ,1999-7-13
V03418,STANDARD                                          ,ASME B16.34,PCSSME  ,1999-7-13
V03418,STEM                                              ,316 SS,PCSSME  ,1999-7-13
V03418,TRIM                                              ,DISC: 316 SS; SEAT: 316 SS\, CO CR-A HARDFACED,PCSSME  ,1999-7-13
V03418,TYPE                                              ,GLOBE,PCSSME  ,1999-7-13
V03420,BODY                                              ,CAST 5 CR - 1/2 MO; ASTM A217\, GR. C5,,
V03420,BONNET                                            ,BOLTED\, OS&Y,,
V03420,DISC                                              ,PLUG TYPE,,
V03420,ENDS                                              ,RAISED FACE FLANGED,,
V03420,OPERATOR                                          ,2\" - 4\" HANDWHEEL\, 6\" & LARGER GEAR WITH 80# MAX. HANDWHEEL RIM PULL BASED ON MAX. ALLOWABLE WORKING PRESSURE OF VALVE.,PCSSME  ,1998-11-16
V03420,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V03420,PORT                                              ,N/A,,
V03420,RATING                                            ,ASME CLASS 300,,
V03420,STANDARD                                          ,ASME B16.34,,
V03420,STEM                                              ,11-13% CR.,,
V03420,TRIM                                              ,PLUG: 11-13% CR.\, SEAT: 11-13% CR.\, CO CR-A HARDFACED\, WELDED-IN SEAT RING,,
V03420,TYPE                                              ,GLOBE,,
V03421,BODY                                              ,CAST 9 CR - 1 MO; ASTM A217\, GR. C12,,
V03421,BONNET                                            ,BOLTED\, OS&Y,,
V03421,DISC                                              ,PLUG TYPE,,
V03421,ENDS                                              ,RAISED FACE FLANGED,,
V03421,OPERATOR                                          ,2\" - 4\" HANDWHEEL\, 6\" & LARGER GEAR WITH 80# MAX. HANDWHEEL RIM PULL BASED ON MAX. ALLOWABLE WORKING PRESSURE OF VALVE.,PCSSME  ,1998-11-16
V03421,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V03421,PORT                                              ,N/A,,
V03421,RATING                                            ,ASME CLASS 300,,
V03421,STANDARD                                          ,ASME B16.34,,
V03421,STEM                                              ,11-13% CR.,,
V03421,TRIM                                              ,PLUG: 11-13% CR.\, SEAT: 11-13% CR.\, CO CR-A HARDFACED\, WELDED-IN SEAT RING,,
V03421,TYPE                                              ,GLOBE,,
V03423,BODY                                              ,316 SS\, ASTM A351 GRADE CF8M,PCSSME  ,1999-7-9
V03423,BONNET                                            ,EXTENDED\, BOLTED\, OS & Y,PCSSME  ,1999-7-9
V03423,DISC                                              ,PLUG TYPE,PCSSME  ,1999-7-9
V03423,ENDS                                              ,RAISED FACE FLANGED,PCSSME  ,1997-6-19
V03423,OPERATOR                                          ,HANDWHEEL,PCSSME  ,1999-7-9
V03423,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RINGS OF BRAIDED CARBON YARN,PCSSME  ,1999-7-9
V03423,RATING                                            ,ASME CLASS 300,PCSSME  ,1997-6-19
V03423,SERVICE                                           ,CRYOGENIC -150F,PCSSME  ,1999-7-23
V03423,STANDARD                                          ,ASME B16.34,PCSSME  ,1999-7-9
V03423,STEM                                              ,316 SS,PCSSME  ,1999-7-9
V03423,TRIM                                              ,DISC: 316 SS; SEAT: 316 SS\, CO CR-A HARDFACED,PCSSME  ,1999-7-9
V03423,TYPE                                              ,GLOBE\, CRYOGENIC,PCSSME  ,1997-6-19
V03424,BELLOWS                                           ,WELDED HYDROFORMED 321 SS\, BELLOWS TO BE WELDED TO TOP AND BOTTOM SEAL RINGS\, REFER TO FIG.1 OF THE VALVE PROCUREMENT SPECIFICATION,PCSSME  ,1999-7-9
V03424,BODY                                              ,LOW TEMP. CARBON STEEL\, ASTM A350 GRADE LF2,PCSSME  ,1999-7-9
V03424,BONNET                                            ,WELDED\, OS & Y,PCSSME  ,1999-7-9
V03424,DISC                                              ,PLUG TYPE,PCSSME  ,1999-7-9
V03424,ENDS                                              ,RAISED FACE FLANGED,PCSSME  ,1999-7-9
V03424,OPERATOR                                          ,HANDWHEEL,PCSSME  ,1999-7-9
V03424,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RINGS OF BRAIDED CARBON YARN,PCSSME  ,1999-7-9
V03424,RATING                                            ,ASME CLASS 300,PCSSME  ,1999-7-9
V03424,STANDARD                                          ,API 602,PCSSME  ,1999-7-9
V03424,STEM                                              ,11 - 13% CR.,PCSSME  ,1999-7-9
V03424,TRIM                                              ,DISC: 11 - 13% CR.; SEAT: 11 - 13% CR. CO CR-A HARDFACED,PCSSME  ,1999-7-9
V03424,TYPE                                              ,GLOBE - BELLOWS SEAL,PCSSME  ,1999-7-9
V03425,BODY                                              ,LOW TEMP. CARBON STEEL\, ASTM A352 GRADE LCB,PCSSME  ,1999-7-9
V03425,BONNET                                            ,BOLTED OS & Y,PCSSME  ,1999-7-9
V03425,DISC                                              ,PLUG TYPE,PCSSME  ,1999-7-9
V03425,ENDS                                              ,RAISED FACE FLANGED,PCSSME  ,1999-7-9
V03425,OPERATOR                                          ,HANDWHEEL,PCSSME  ,1999-7-9
V03425,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RINGS OF BRAIDED CARBON YARN,PCSSME  ,1999-7-9
V03425,RATING                                            ,ASME CLASS 300,PCSSME  ,1999-7-9
V03425,STANDARD                                          ,ASME B16.34,PCSSME  ,1999-7-9
V03425,STEM                                              ,11 - 13% CR.,PCSSME  ,1999-7-9
V03425,TRIM                                              ,DISC: 11 - 13% CR.; SEAT: 11 - 13% CR. CO CR-A HARDFACED,PCSSME  ,1999-7-9
V03425,TYPE                                              ,GLOBE,PCSSME  ,1999-7-9
V03426,OTHER                                             ,(Assigned to Polypropylene  Project 8/11/97.),PCS41CR ,1997-8-22
V03427,OTHER                                             ,(Assigned to Polypropylene  Project 8/11/97.),PCS41CR ,1997-8-22
V03428,OTHER                                             ,(Assigned to Polypropylene  Project 8/11/97.),PCS41CR ,1997-8-22
V03429,OTHER                                             ,(Assigned to Polypropylene  Project 8/11/97.),PCS41CR ,1997-8-22
V03430,OTHER                                             ,(Assigned to Polypropylene  Project 8/11/97.),PCS41CR ,1997-8-22
V03431,BODY                                              ,CAST 1-1/4 CR - 1/2 MO; ASTM A217\, GR. WC6,,
V03431,BONNET                                            ,BOLTED\, OS&Y,,
V03431,DISC                                              ,PLUG TYPE,,
V03431,ENDS                                              ,RAISED FACE FLANGED (125-250 AARH FACING),,
V03431,OPERATOR                                          ,2\" - 4\" HANDWHEEL\, 6\" & LARGER GEAR WITH 80# MAX. HANDWHEEL RIM PULL BASED ON MAX. ALLOWABLE WORKING PRESSURE OF VALVE.,PCSSME  ,1998-11-16
V03431,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V03431,PORT                                              ,N/A,,
V03431,RATING                                            ,ASME CLASS 300,,
V03431,STANDARD                                          ,ASME B16.34,,
V03431,STEM                                              ,11-13% CR.,,
V03431,TRIM                                              ,PLUG: 11-13% CR.\, SEAT: 11-13% CR.\, CO CR-A HARDFACED\, WELDED-IN SEAT RING,,
V03431,TYPE                                              ,GLOBE,,
V03432,OTHER                                             ,(Assigned to Polypropylene  Project 8/11/97.),PCS41CR ,1997-8-22
V03433,OTHER                                             ,(Assigned to Polypropylene  Project 8/11/97.),PCS41CR ,1997-8-22
V03434,OTHER                                             ,(Assigned to Polypropylene  Project 8/11/97.),PCS41CR ,1997-8-22
V03435,OTHER                                             ,(Assigned to Polypropylene  Project 8/11/97.),PCS41CR ,1997-8-22
V03436,OTHER                                             ,(Assigned to Polypropylene  Project 8/11/97.),PCS41CR ,1997-8-22
V03437,OTHER                                             ,(Assigned to Polypropylene  Project 8/11/97.),PCS41CR ,1997-8-22
V03438,OTHER                                             ,(Assigned to Polypropylene  Project 8/11/97.),PCS41CR ,1997-8-22
V03439,OTHER                                             ,(Assigned to Polypropylene  Project 8/11/97.),PCS41CR ,1997-8-22
V03440,BODY                                              ,CAST 1-1/4 CR - 1/2 MO; ASTM A217\, GR. WC6,,
V03440,BONNET                                            ,BOLTED\, OS&Y,,
V03440,BONNET BOLTING                                    ,ASTM A193 GR. B16 AND NUTS TO ASTM A194 GR. 2H.,,
V03440,DISC                                              ,PLUG TYPE,,
V03440,ENDS                                              ,RING JOINT FLANGED,,
V03440,OPERATOR                                          ,2\" - 4\" HANDWHEEL\, 6\" & LARGER GEAR WITH 80# MAX. HANDWHEEL RIM PULL BASED ON MAX. ALLOWABLE WORKING PRESSURE OF VALVE.,PCSSME  ,1998-11-16
V03440,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V03440,PORT                                              ,N/A,,
V03440,RATING                                            ,ASME CLASS 300,,
V03440,SERVICE                                           ,HYDROGEN AT 1025F MAXIMUM DESIGN TEMPERATURE.,,
V03440,STANDARD                                          ,ASME B16.34,,
V03440,STEM                                              ,11-13% CR.,,
V03440,TRIM                                              ,PLUG: 11-13% CR.\, SEAT: 11-13% CR.\, CO CR-A HARDFACED\, WELDED-IN SEAT RING,,
V03440,TYPE                                              ,GLOBE,,
V03441,BODY                                              ,CAST 5 CR - 1/2 MO; ASTM A217\, GR. WC5,,
V03441,BONNET                                            ,BOLTED\, OS&Y,,
V03441,DISC                                              ,PLUG TYPE,,
V03441,ENDS                                              ,RING JOINT FLANGED,,
V03441,OPERATOR                                          ,2\" - 4\" HANDWHEEL\, 6\" & LARGER GEAR WITH 80# MAX. HANDWHEEL RIM PULL BASED ON MAX. ALLOWABLE WORKING PRESSURE OF VALVE.,PCSSME  ,1998-11-16
V03441,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V03441,PORT                                              ,N/A,,
V03441,RATING                                            ,ASME CLASS 300,,
V03441,STANDARD                                          ,ASME B16.34,,
V03441,STEM                                              ,11-13% CR.,,
V03441,TRIM                                              ,PLUG: 11-13% CR.\, SEAT: 11-13% CR.\, CO CR-A HARDFACED\, WELDED-IN SEAT RING,,
V03441,TYPE                                              ,GLOBE,,
V03445,BELLOWS                                           ,WELDED HYDROFORMED INCONEL 625\, BELLOWS TO BE WELDED TO TOP AND BOTTOM SEAL RINGS\, REFER TO FIGURE 1 OF THE VALVE PROCUREMENT SPECIFICATION.,PCSSME  ,1997-2-11
V03445,BODY                                              ,FORGED 9 CR - 1 MO: ASTM A182\, GR F9,,
V03445,BONNET                                            ,BOLTED\, OS&Y,PCSSME  ,1997-2-11
V03445,DISC                                              ,PLUG TYPE,,
V03445,ENDS                                              ,RAISED FACE FLANGED,,
V03445,OPERATOR                                          ,HANDWHEEL,,
V03445,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V03445,PORT                                              ,NA,,
V03445,RATING                                            ,ASME CLASS 300,,
V03445,STANDARD                                          ,API 602,,
V03445,STEM                                              ,11 - 13% CR.,,
V03445,TRIM                                              ,PLUG AND SEAT: 11 - 13% CR\, CO CR-A HARDFACED,PCS41CR ,1997-8-18
V03445,TYPE                                              ,GLOBE\, BELLOWS SEAL,,
V03446,BELLOWS                                           ,WELDED HYDROFORMED INCONEL 625\, BELLOWS TO BE WELDED TO TOP AND BOTTOM SEAL RINGS\, REFER TO FIGURE 1 OF THE VALVE PROCUREMENT SPECIFICATION.,PCSSME  ,1997-1-29
V03446,BODY                                              ,FORGED 1 1/4 CR - 1/2 MO: ASTM A182\, GR F11,,
V03446,BONNET                                            ,BOLTED\, OS&Y,PCSSME  ,1997-1-29
V03446,DISC                                              ,PLUG TYPE,,
V03446,ENDS                                              ,RAISED FACE FLANGED (125 - 250 AARH FACING),,
V03446,OPERATOR                                          ,HANDWHEEL,,
V03446,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V03446,PORT                                              ,NA,,
V03446,RATING                                            ,ASME CLASS 300,,
V03446,STANDARD                                          ,API 602,,
V03446,STEM                                              ,11 - 13% CR.,,
V03446,TRIM                                              ,PLUG AND SEAT: 11 - 13% CR\, CO CR-A HARDFACED,PCS41CR ,1997-8-18
V03446,TYPE                                              ,GLOBE\, BELLOWS SEAL,,
V03447,BELLOWS                                           ,WELDED HYDROFORMED INCONEL 625\, BELLOWS TO BE WELDED TO TOP AND BOTTOM SEAL RINGS\, REFER TO FIGURE 1 OF THE VALVE PROCUREMENT SPECIFICATION.,PCSSME  ,1997-1-30
V03447,BODY                                              ,FORGED 1 1/4 CR - 1/2 MO: ASTM A182\, GR F11,,
V03447,BONNET                                            ,BOLTED\, OS&Y,PCSSME  ,1997-1-30
V03447,DISC                                              ,PLUG TYPE,,
V03447,ENDS                                              ,RING JOINT FLANGED,,
V03447,OPERATOR                                          ,HANDWHEEL,,
V03447,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V03447,PORT                                              ,NA,,
V03447,RATING                                            ,ASME CLASS 300,,
V03447,SERVICE                                           ,HYDROGEN AT 1025F MAXIMUM DESIGN TEMPERATURE.,,1996-8-27
V03447,STANDARD                                          ,API 602,,
V03447,STEM                                              ,11 - 13% CR.,,
V03447,TRIM                                              ,PLUG AND SEAT: 11 - 13% CR\, CO CR-A HARDFACED,PCS41CR ,1997-8-18
V03447,TYPE                                              ,GLOBE\, BELLOWS SEAL,,
V03448,BELLOWS                                           ,WELDED HYDROFORMED INCONEL 625\, BELLOWS TO BE WELDED TO TOP AND BOTTOM SEAL RINGS\, REFER TO FIGURE 1 OF THE VALVE PROCUREMENT SPECIFICATION.,PCSSME  ,1997-2-6
V03448,BODY                                              ,FORGED 5 CR - 1/2 MO: ASTM A182\, GR F5,,
V03448,BONNET                                            ,BOLTED\, OS&Y,PCSSME  ,1997-2-6
V03448,DISC                                              ,PLUG TYPE,,
V03448,ENDS                                              ,RAISED FACE FLANGED,,
V03448,OPERATOR                                          ,HANDWHEEL,,
V03448,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V03448,PORT                                              ,NA,,
V03448,RATING                                            ,ASME CLASS 300,,
V03448,STANDARD                                          ,API 602,,
V03448,STEM                                              ,11 - 13% CR.,,
V03448,TRIM                                              ,PLUG AND SEAT: 11 - 13% CR\, CO CR-A HARDFACED,PCS41CR ,1997-8-18
V03448,TYPE                                              ,GLOBE\, BELLOWS SEAL,,
V03449,BELLOWS                                           ,WELDED HYDROFORMED INCONEL 625\, BELLOWS TO BE WELDED TO TOP AND BOTTOM SEAL RINGS\, REFER TO FIGURE 1 OF THE VALVE PROCUREMENT SPECIFICATION.,PCSSME  ,1997-2-6
V03449,BODY                                              ,FORGED 5 CR - 1/2 MO: ASTM A182\, GR F5,,
V03449,BONNET                                            ,BOLTED\, OS&Y,PCSSME  ,1997-2-6
V03449,DISC                                              ,PLUG TYPE,,
V03449,ENDS                                              ,RING JOINT FLANGED,,
V03449,OPERATOR                                          ,HANDWHEEL,,
V03449,PACKING                                           ,DIE-FORMED FLEXIBLE GRAPHITE WITH TOP AND BOTTOM RING OF BRAIDED CARBON YARN.,,
V03449,PORT                                              ,NA,,
V03449,RATING                                            ,ASME CLASS 300,,
V03449,STANDARD                                          ,API 602,,
V03449,STEM                                              ,11 - 13% CR.,,
V03449,TRIM                                              ,PLUG AND SEAT: 11 - 13% CR\, CO CR-A HARDFACED,PCS41CR ,1997-8-18
V03449,TYPE                                              ,GLOBE\, BELLOWS SEAL,,
V03450,BELLOWS                                           ,INCONEL 625\, BELLOWS TO BE WELDED TO TOP AND BOTTOM SEAL RINGS\, REFER TO FIGURE 1 OF THE VALVE PROCUREMENT SPECIFICATION.,,
