Class_Code,Service,Flange_Rating,Max_Pressure,Max_Temp,Corrosion_Allow,Piping_Material,Small_Fitting,Valve_Body_Mtl,Valve_Trim,Gasket_Material,Gasket_Bolting,Instr_Spec,Comments,Last_Updt_Id,Last_Updt_date,Special_Note,Maintenance_Note
CAD ,"HYDROCARBON LIQUID & VAPOR, PROCESS GAS (SULFUR PLANT)",CL 150 RF,ASME B16.5,750F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,12 CR/ STELL.,CMG / SPIRAL WOUND,B7 STUD,S-01,SEE NOTE 169 FOR SPIRAL WOUND GASKET USE.,,2008-1-12,"A. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF ORBIT VALVES FOR VENTS AN DRAINS, WHEN IT IS MORE ECONOMICAL.                                                                                                                                   B. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",
CAE ,SULFURIC ACID (90% THRU 98%),CLASS 150 RF,ASME B16.5,110F,"0.125""",CARBON STEEL,BW,ALLOY 20,ALLOY 20,KLINGER-TOP CHEM 2000,B7 STUD,S-03, ,,2008-1-12,"A. USE GTAW PROCESS FOR WELDING ROOT PASS ON ALL BUTTWELDS.   B. LIMIT LINE VELOCITY TO 3.0 FPS.  USE LINE CLASS CX FOR VELOCITIES OVER 3.0 FPS AND UP TO 10.0 FPS.  C. USE ALLOY 20 BUTTWELD FITTINGS TO AVOID EXCESSIVE CORROSION DUE TO TURBULENCE.  D. IN SOME APPLICATIONS, CARBON STEEL FITTINGS MAY BE ACCEPTABLE AS APPROVED BY ARCO IN ACCORDANCE WITH ENGINEERING STANDARD P-1 AND NOTED IN THE P&IDS AS REQUIRED BY PSM (PROCESS SAFETY MANAGEMENT.   E.  FIELD VERIFY EXISTING FLANGES FOR FACING.  ORGINAL PIPE SPEC SPECIFIED FLAT FACE FLANGES.   ",
CAH ,"STEAM, COND., BFW, BLOWDOWN 150 PSIG AND LOWER",CL 150 RF,ASME B16.5,500F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,CMG,B7 STUD,S-01, ,,2008-8-11,"A. ALL CARBON STEEL PIPE WELDING IN BOILER CIRCULATING SYSTEMS THAT SEE CAUSTIC SERVICE SHALL BE STRESS RELIEVED.  B. FLANGED VALVES ARE PREFERRED OVER WELD-END VALVES WHEN USED AT ROTATING MACHINERY FOR ALIGNMENT PURPOSES.  C. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.  D.  ALTERNATIVELY TLV 3/4"" P46SRN C/W BO2 INTEGRAL BLOWDOWN VALVE CAN BE SUBSTITUTED IF DICTATED BY SPACE CONSTRAINTS (SW CONNECTIONS).","EXISTING WAFER STYLE CHECK VALVES SHOULD BE REPLACED WITH SWING CHECK VALVES. IF EXISTING WAFER STYLE (DOUBLE PLATE) CHECK VALVES HAVE TO BE REPLACED IN KIND, USE VALVE CODE NUMBER V01525."
CAHS,STEAM TRACING,NONE,SEE LINE CLASS, ,NONE,(TUBING),NONE,NONE,NONE,NONE, ,S-07, ,,2008-11-6,"A.  USE CAHS FOR REPAIRS ONLY, UNLESS DIRECTED BY BP ENGINEER.  B. USE STAINLESS STEEL TUBING MATERIAL WHERE EXTERNAL VAPORS ARE CORROSIVE TO COPPER.  C. COPPER TUBING SHALL NOT BE USED FOR TRACING ALUMINUM LINES.  D. COPPER TUBING SHALL NOT BE USED IN SULFUR PLANT.  E.  CARBON STEEL TUBING SHALL BE REPAIRED WITH SS TUBING  F.  FOR STEAM TRACING >30#, USE CAH FOR STEAM TRAP SELECTION.",
CAI ,OXYGEN,CL 150 RF,230 PSIG,500F,"0.0625""",CARBON STEEL/ MONEL,CL 3000 SW,MONEL,MONEL,KLINGER-TOP CHEM 2000,B7 STUD,S-01, ,,2008-4-22,"A.  ALL VALVES, GASKETS, AND OTHER NON-WELDED COMPONENTS SHALL BE ORDERED AS ""PREPARED FOR OXYGEN SERVICE"".  THIS NORMALLY INCLUDES CHEMICAL CLEANING AND SPECIAL PACKAGING.  VALVE PACKING SHALL BE TEFLON.  B.  FLUID VELOCITY SHALL BE LIMITED TO 200 FEET PER SECOND. HIGHER VELOCITIES REQUIRE MONEL PIPING.  C. THE INSTALLED PIPING SYSTEM SHALL BE MECHANICALLY AND CHEMICALLY CLEANED TO REMOVE CONTAMINANTS SUCH AS OIL, GREASE, LUBRICANTS, PAINTS, ETC. AND PARTICULATES SUCH AS WELD SLAG AND METAL CHIPS FROM MACHINING AND CUTTING OPERATIONS. REFER TO SOA-2100-04 FOR SYSTEM CLEANING PROCEDURE. REFER TO ""MAINT. NOTE"" SECTION  FOR FIELD CLEANING PROCEDURE FOR USE ONLY ON INDIVIDUAL ITEMS IN ABNORMAL SITUATIONS WHEN COMMERCIALLY CLEANED ITEMS ARE NOT AVAILABLE.  D.  FILTERS MADE OF MONEL SHALL BE INSTALLED UPSTREAM OF PRESSURE REDUCING REGULATORS AND CONTROL VALVES TO CATCH PARTICULATES.  E.  USE TEFLON TAPE FOR THREADED JOINTS.  DO NOT USE THREAD COMPOUND.  F.  FOR TEMPERATURES BELOW -20F, USE MONEL PIPING. BOLTING SHALL BE 304SS STUD BOLTS, ASTM A320 GRADE 8 WITH ASTM 194 GRADE 8 NUTS.   ","CHEMICAL CLEANING PROCEDURE FOR CARBON STEEL AND LOW ALLOY VALVES TO 9CR  1. DISASSEMBLE AND INSPECT THE VALVE INITIALLY SO THAT IT CAN BE DIPPED AND ALL OF THE CLEANING SOLUTIONS REMOVED ENTIRELY, ALSO ANY VISIBLE DIRT/ GREASE SHOULD BE SWABBED OUT WITH A CLEANING RAG AT THIS TIME.  2. PLACE THE VALVE PIECES IN THE CLEANING CABINET IN THE MACHINE SHOP FOR DEGREASING ITEMS. THEY SHOULD BE CYCLED THROUGH THE CLEANING MACHINE WITH A SOAP OR DETERGENT ADDED. AT THE END OF THE CYCLE, THE VALVE SHOULD BE CLEAN SO THAT THERE IS NO RESIDUE OF ANY OIL WHEN USING WHITE LIGHT ILLUMINATION AND WITHOUT MAGNIFICATION WITH 20/20 VISION. IF THE VALVE IS NOT SUFFICIENTLY CLEAN, REPEAT THE CYCLE. AFTER THE SOAP CYCLE, RINSE ALL PARTS WITH CLEAN HOT WATER OR AS HOT CONDENSATE AND THEN QUICKLY DRY WITH AIR THAT HAS NO OIL ADDITION SUCH AS BREATHING AIR OR NITROGEN. ANY TRACES OF OIL RESIDUE THAT ARE NOT REMOVABLE THIS WAY NEED TO BE REMOVED WITH A PRODUCT SUCH AS CRC ELECTRAKLEEN. MAKE CERTAIN THE ARTICLE IS DRY AND IT SHOULD BE READY TO INSTALL. IF THERE IS RUST PROCEED TO STEP 3.  3. A SOLUTION OF EITHER 10 VOL % HYDROCHLORIC ACID OR 10 WT% CITRIC ACID SHALL BE MADE UP (1 GALLON ACID TO 9 GALLONS OF WATER FOR THE HCL OR 10 POUNDS OF CITRIC ACID TO 90 POUNDS OF WATER). ALSO, PREPARE INHIBITOR SOLUTION CONSISTING OF 1/2 PINT OF RODINE 95 TO THE APPROX 10 GALLONS OF SOLUTION. THE SOLUTION NEEDS TO BE MADE UP WITH 140F WATER IF HCL IS USED OR 170F WATER IF CITRIC ACID IS USED. USE A PLASTIC CONTAINER THAT IS SUFFICIENTLY STRONG AND ABLE TO MIX AND HANDLE THESE SOLUTIONS, SUCH AS A PLASTIC BARREL OF HIGH DENSITY POLYETHYLENE.  4. SOAK THE VALVE IN THE SOLUTION FOR 2-3 HOURS, REMOVE AND RINSE OFF TO CHECK FOR CLEAN. IF IT IS NOT CLEAN, MAKE NEW SOLUTION AND RESOAK. WHEN FINALLY CLEAN, PROCEED TO NEUTRALIZATION STEP 5.  5. USE ANOTHER CONTAINER TO PUT IN 100 POUNDS OR 10 GALLONS OF 160F WATER AND ADD 1-1.5 POUNDS OF SODA ASH, MIX THIS SOLUTION AND THEN SOAK THE VALVE IN THIS FOR ABOUT A HALF HOUR. REMOVE AND RINSE WITH CONDENSATE OR HOT WATER, THEN DRY WITH CLEAN BREATHING AIR AND PLACE THE VALVE IN A BAG WITH DESSICANT OR DRY PLACE SO NO FLASH RUST OCCURS UNTIL USE.  "
CAJ ,COOLING WATER (ABOVEGROUND),CL 150 RF,150 PSIG,150F,"0.0625""",CARBON STEEL,CL 2000 SCREWED,CARBON STEEL/ BRONZE,12 CR/ STELL./ BRONZE,CMG,B7 STUD,S-01, ,,2008-1-12,"A. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.","EXISTING WAFER STYLE CHECK VALVES SHOULD BE REPLACED WITH SWING CHECK VALVES. IF EXISTING WAFER STYLE (DOUBLE PLATE) CHECK VALVES HAVE TO BE REPLACED IN KIND, USE VALVE CODE NUMBER V01527."
CAK ,COOLING WATER (UNDERGROUND),CL 125 FF/ CL 150 FF,150 PSIG,150F,"0.0625""",CARBON STEEL,NONE,CAST IRON,BRONZE,CMG,B7 STUD,S-01, ,,2009-2-17,A.  ALL LINES ROUTED ARE RECOMMENDED TO BE LOCATED 10 FEET OR MORE FROM POTABLE WATER LINES. DEPT. OF HEALTH REQUIREMENTS MUST BE FOLLOWED IF SPACING IS LESS THAN 5 FEET.  ,"EXISTING WAFER STYLE CHECK VALVES SHOULD BE REPLACED WITH SWING CHECK VALVES. IF EXISTING WAFER STYLE (DOUBLE PLATE) CHECK VALVES HAVE TO BE REPLACED IN KIND, USE VALVE CODE NUMBER V01526."
CAL ,"PLANT AIR, SERVICE OR UTILITY WATER (ABOVE OR BELOW GROUND)",CL 150 RF,200 PSIG,150F,"0.0625""",GALV. CARBON STEEL & CARBON STEEL,CL 300 M.I. SCREWED,CARBON STEEL/ BRONZE,12 CR/ STELL./ BRONZE,CMG,B7 STUD,S-01, ,,2009-2-17,A.  ALL LINES ROUTED ARE RECOMMENDED TO BE LOCATED 10 FEET OR MORE FROM POTABLE WATER LINES. DEPT. OF HEALTH REQUIREMENTS MUST BE FOLLOWED IF SPACING IS LESS THAN 5 FEET. ,"EXISTING WAFER STYLE CHECK VALVES SHOULD BE REPLACED WITH SWING CHECK VALVES. IF EXISTING WAFER STYLE (DOUBLE PLATE) CHECK VALVES HAVE TO BE REPLACED IN KIND, USE VALVE CODE NUMBER V01527 FOR CLASS 150 AND V01526 FOR CLASS 125."
CALC,POTABLE WATER (ABOVE AND BELOW GROUND),CL 150 RF/ CL125 FF,150 PSIG,150F,NONE,GALV. CEMENT LINED CARBON STEEL,CL 300 M.I. SCREWED,CARBON STEEL/ BRONZE/ CAST IRON,12 CR/ STELL./ BRONZE,RED RUBBER,B7 STUD,S-01, ,,2009-2-10,"A. THIS SPEC HAS BEEN REPLACED BY CLASS CLB FOR ABOVE GROUND, AND CLASS BW1 FOR BELOW GROUND. CLASS CALC IS TO BE USED FOR LOCAL REPAIRS ONLY, WHERE REPAIRS USING CLASS CLB ARE NOT PRACTICAL. ALL NEW SECTIONS OF REPAIRED PIPE TO BE NSF-61 CERTIFIED (EXCLUDING FITTINGS, VALVES, AND GASKETS).   B. PVC PIPE IN LINE CLASS BV MAY BE USED IN LIEU OF CEMENT LINED PIPE IN SIZES 4"" TO 6"", IF APPROVED BY REFINERY ENGINEERING, IN CONSIDERATION OF:  1) MECHANICAL DAMAGE 2) ABILITY TO BE ISOLATED 3) BURIAL DEPTH 4) U-V RAYS PROTECTION  C. POTABLE WATER PIPING SHALL BE SANITIZED BEFORE PLACING IT IN SERVICE.  ","1.  ONLY THE FOLLOWING MAINTENANCE ITEMS PERMITTED.    A.  INSTALLATION OF VALVES, FITTINGS, AND METERS, INCLUDING BACKFLOW PREVENTION ASSEMBLIES.      B.  REPAIR OF A SYSTEM COMPONENT OR REPLACEMENT WITH A COMPONENT OF A SIMILAR CAPACITY AND MATERIAL IN ACCORDANCE WITH THE ORIGINAL CONSTRUCTION SPECIFICATIONS OF THE APPROVED DESIGN.  FOR THE PURPOSES OF REPLACING EXISTING PIPE, SIMILAR CAPACITY INCLUDES ONE STANDARD PIPE SIZE LARGER.      C. MAINTENANCE OR PAINTING OF SURFACES NOT CONTACTING POTABLE WATER.      D.  CONTACT MAINTENANCE RELIABILITY FOR OTHER REPAIRS.   2.  EXISTING WAFER STYLE CHECK VALVES SHOULD BE REPLACED WITH SWING CHECK VALVES. IF EXISTING WAFER STYLE (DOUBLE PLATE) CHECK VALVES HAVE TO BE REPLACED IN KIND, USE VALVE CODE NUMBER V01526 FOR UNDERGROUND AND V01527 FOR ABOVEGROUND INSTALLATION."
CALW,DOCK  OFFSITE:  PLANT AIR,CL 150 RF,150 PSIG,100F,NONE,GALVANIZED CARBON STEEL,CL 300 M.I. SCREWED,CAST IRON/ BRONZE,MFGR. STD.,CMG,B7 STUD,S-01, ,,2009-2-12,A.  USE CLB OR CALC WITH NS F-61 REQUIREMENTS FOR REPAIRS TO POTABLE WATER LINES ORGINALLY BUILT TO CALW.,
CAM ,"FIRE WATER (UNDERGROUND & ABOVEGROUND), OFFSITE EFFLUENT WATER (UNDERGROUND)",CL 125 FF/ CL 150 RF,150 PSIG,150F,"NONE(UG), 0.0625""(AG)",CEMENT LINED GALV. CS & CARBON STEEL,CL 2000 SCREWED,CAST IRON/ CARBON STEEL,MFGR. STD/ 12 CR/ STELL.,CMG,B7 STUD,S-01, ,,2009-2-17,"A. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.  B.  ALL LINES ROUTED ARE RECOMMENDED TO BE LOCATED 10 FEET OR MORE FROM POTABLE WATER LINES. DEPT. OF HEALTH REQUIREMENTS MUST BE FOLLOWED IF SPACING IS LESS THAN 5 FEET. ",
CAN ,INSTRUMENT AIR,CL 150 RF,ASME B16.5,100F,"0.0625""",GALV.  CS & CARBON STEEL,CL 300 M.I. SCREWED,CARBON STEEL/ BRONZE,12 CR/ STELL./ BRONZE,CMG,B7 STUD,S-08, ,,2008-1-12,,"EXISTING WAFER STYLE CHECK VALVES SHOULD BE REPLACED WITH SWING CHECK VALVES. IF EXISTING WAFER STYLE (DOUBLE PLATE) CHECK VALVES HAVE TO BE REPLACED IN KIND, USE VALVE CODE NUMBER V01527."
CAO ,"OFFSITE & DOCK OFFSITE: HYDROCARBON LIQUID & VAPOR, CRUDE, JET FUEL, BALLAST WATER, BUNKER FUEL OIL, EFFLUENT WATER (ABOVEGROUND)",CL 150 RF,200 PSIG,400F,"0.125""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,CMG,B7 STUD,S-01, ,,2008-1-12,"A. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE IN LIEU OF BALL AND ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.   B. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.","A. EXISTING PLUG VALVES SHOULD BE REPLACED WITH BALL OR ORBIT VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG HAVE VALVES HAVE TO BE  REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBERS ARE: V01700,  V03710.  B. EXISTING WAFER STYLE CHECK VALVES SHOULD BE REPLACED WITH SWING CHECK VALVES. IF EXISTING WAFER STYLE (DOUBLE PLATE) CHECK VALVES HAVE TO BE REPLACED IN KIND, USE VALVE CODE NUMBER V01525.  C. EXISTING CAO LINES MAY HAVE PIPE WALL THICKNESS LESS THAN STANDARD WEIGHT AND DESIGNED FOR 150 PSIG. TO INCREASE PRESSURE TO 200 PSIG, PERFORM A PIPE WALL THICKNESS CALCULATION FOR THE HIGHER PRESSURE."
CAP ,"BOILER EXTERNAL PIPING (ASME B31.1): STEAM, CONDENSATE, BOILER FEEDWATER, BLOWDOWN",CL 150 RF,ASME B16.5,500F,"0.0625""",CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,CMG,B7 STUD,S-01, ,,2008-1-12,"A. FLANGED VALVES ARE PREFERRED OVER WELD-END VALVES WHEN USED AT ROTATING MACHINERY FOR ALIGNMENT PURPOSES.  B. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",
CAQ ,HYDROCARBONS (LOW TEMP.),CL 150 RF,ASME B16.5,-21F TO -50F,"0.0625""",LOW TEMP. CARBON STEEL,CL 3000 SW,LOW TEMP. CARB. STEEL/316SS/316LSS,316 SS,CMG,L7 STUD,S-04,See Archived Line Class for special note,,2008-1-12,1. CAQ IN CAUSTIC & ACID UNIT IS A DUPLICATE & UNIQUE ARCHIVED LINE CLASS THAT USED TEFLON-LINE PIPING COMPONENTS. SEE ARCHIVED LINE CLASS.,
CAW3,LEAN & SEMI-LEAN CATACARB,CL 150 RF,ASME B16.5,500F,"0.125""",CARBON STEEL,CL 3000/ 6000 SW,CARBON STEEL,316SS/ STELL.,CMG,B7 STUD,S-01,PWHT FOR SERVICE,,2008-1-12,"A. ALL CARBON STEEL PIPE WELDING SHALL BE STRESS RELIEVED.  B. NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE.  C. GATE VALVES IN SIZES 2"" AND SMALLER ARE CONSIDERED TIGHT SHUT OFF IN ACCORDANCE WITH API 598 (ZERO LEAK DURING SEAT TEST). USE GATE VALVES IN THIS SIZE RANGE LIEU OF BALL AND ORBIT VALVES FOR VENTS AND DRAINS, WHEN IT IS MORE ECONOMICAL.  D. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.  E.  METAL THAT HAS BEEN EXPOSED TO CAUSTIC, CATACARB, OR AMINE SERVICE MUST BE NEUTRALIZED PRIOR TO WELDING.  THE METAL SHALL BE THOROUGHLY RINSED WITH WATER AND THEN NEUTRALIZED WITH AMPLE AMOUNTS OF UNDILUTED VINEGAR.  ALLOW FOR THE SOLUTION TO REACT FOR APPROXIMATELY 5 MINUTES AND THEN RINSE AGAIN WITH WATER.  VERIFY NEUTRALIZATION USING LITMUS PAPER AND REPEAT IF NECESSARY.  ONCE NEUTRALIZED, DRY THE AREA AND PROCEED WITH WELDING.","A. EXISTING PLUG VALVES SHOULD BE REPLACED WITH BALL OR ORBIT VALVES SHOWN IN THIS LINE CLASS. IF FLANGED PLUG VALVES HAVE TO BE REPLACED IN KIND, THE APPLICABLE VALVE CODE NUMBERS ARE: V01704, V03706."
CAX ,HYDROCARBON LIQUID & VAPOR (HYDROCARBON RELIEF - COKER UNIT),CL 150 RF,ASME B16.5,850F (SEE SPECIAL NOTE),"0.125""",CARBON STEEL,SCH 80,CARBON STEEL,12 CR/ STELL.,CMG,B7 STUD,S-01,SERVICE TEMPERATURE ABOVE 750F LIMITED TO INFREQUENT OCCURANCES AND SHORT DURATION.,,2008-1-22,"A.  ALTHOUGH THE MAXIMUM TEMPERATURE IS SHOWN AS 850F, SERVICE TEMPERATURE ABOVE 750F IS LIMITED TO INFREQUENT OCCURANCES AND SHORT DURATION.                                                                                                                                                                                                                                                                                                                                                               B.  GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT.  IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",
CAY ,LIQUID SULFUR,CL 150 RF,ASME B16.5 (Core pipe internal only),400F,"0.125""",CARBON STEEL/ JACKETED,CL 3000/ SCREWED,CARBON STEEL JACKETED,C.S.,CMG,B7 STUD,NONE,FLEX HOSE,,2008-11-6,"A. THE ASME B16.5 MAXIMUM PRESSURE RATING ONLY APPLIES TO THE INTERNAL PRESSURE OF THE CORE PIPE.  IN THE CORRODED CONDITION, THE CORE PIPE EXTERNAL PRESSURE AND JACKET PIPE INTERNAL PRESSURE IS LIMITED BELOW B16.5 RATINGS IN VARYING AMOUNTS DEPENDING ON THE PIPE SIZES.  A 450 PSIG HYDROTEST OF THE JACKET, WHICH ALSO APPLIES EXTERNAL PRESSURE ON THE CORE PIPE, IS ONLY ACCEPTABLE IN THE NEW AND UNCORRODED CONDITION.  FOR CORRODED CONDITIONS SEE RELIABILITY ENGINEERING FOR REDUCED CALCULATED TEST PRESSURES.                                                                                                 B. ALL JACKETED PIPING SHALL HAVE APPROVED FABRICATION DRAWINGS.  FOR EXISTING DETAILS, SEE DRAWINGS LD-28-1710-02, LD-28-1700-611, & LD-28-1700-612.  STEAM SUPPLY IS 50# OR 70# STEAM.  SEE P&ID FOR VERIFICATION.  C. ALL TURNS SHALL BE MADE WITH FITTINGS WITH FLANGED CLEANOUTS. PIPE BENDS FOR EXPANSION SHALL HAVE FLANGED ENDS FOR BREAKOUT.  D. ALL RUNS OF PIPE SHALL CONTAIN SUFFICIENT NUMBERS OF BREAKOUT FLANGES.  MAXIMUM LENGTH OF PIPE WITHOUT BREAKOUT FLANGES IS 40' 0"".   E. STEAM JACKETS SHALL HAVE CONNECTIONS FOR JUMPOVERS AT ALL FLANGES.  F. SUFFICIENT CONNECTIONS FOR STEAMING, BLOWING, AND DRAINING SHALL BE PROVIDED ON ALL SULFUR LINES.  G. STRESS ANALYSIS REQUIRED FOR ALL JACKETED PIPING SYSTEMS.  H. NO COPPER OR COPPER BEARING ALLOYS PERMITTED IN THIS SERVICE. ","A.  PRIOR TO 2008, 2""x3"" JACKETED PIPE WAS SPECIFIED WITH SCH 40 INNER PIPE.  2"" INNER PIPE WAS REVISED TO SCH 80 TO COMPLY WITH MINIMUM THICKNESS REQUIREMENTS OF ENGR. STD. 200, DETERMINED BY ADDING CORROSION ALLOWANCE PLUS MINIMUM MECHANICAL THICKNESS OF 0.05"".                                                                                                                                                                                                                                                                                                                                                      B.  FOR HYDROTESTING OF JACKETED PIPE WHICH HAS BEEN IN SERVICE, SEE RELIABILITY ENGINEER FOR REDUCED CALCULATED JACKET TEST PRESSURE.  SEE SPECIAL NOTES FOR MORE INFORMATION."
CE  ,CORROSIVE HYDROCARBON LIQUID & VAPOR,CL 150 RF,ASME B16.5,850F,"0.125""",5CR-1/2 MO,CL 3000/ 6000 SW,5CR-1/2MO,12 CR/ STELL.,CMG / SPIRAL WOUND,B7 STUD,S-04,(1) PWHT FOR SERVICE. (2) SEE NOTE 169 FOR SPIRAL WOUND GASKET USE.,,2008-1-12,"A. ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE  STRESS RELIEVED REGARDLESS  OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.  B. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",
CFA ,CORROSIVE HYDROCARBON  LIQUID & VAPOR,CL 150 RF,ASME B16.5,850F,"0.125""",9CR-1MO,CL 3000/ 6000 SW,9CR-1MO,12 CR/ STELL.,CMG / SPIRAL WOUND,B7 STUD,S-04,(1) PWHT FOR SERVICE. (2) SEE NOTE 169 FOR SPIRAL WOUND GASKET USE.,,2008-1-12,"A. ALL PRESSURE CONTAINING WELDS (SOCKETWELD OR BUTTWELD) SHALL BE STRESS RELIEVED REGARDLESS OF WALL THICKNESS. THREADED AND SEAL WELDED JOINTS ARE EXCLUDED.   B. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.",
CH  ,"LUBE  OIL, SEAL OIL",CL 150 RF,ASME B16.5,500F,NONE,304SS & GALV. CARBON STEEL,CL 3000 SW,CARBON STEEL,12 CR/ STELL.,SPIRAL WOUND,B7 STUD,S-04,FLEX HOSE.,,2009-3-5,"A. WELDED JOINTS DOWNSTREAM OF OIL FILTERS SHALL BE BUTTWELD RATHER  THEN SOCKETWELD, EXCEPT VALVES. THE ROOT PASS SHALL BE MADE WITH THE GAS TUNGSTEN ARC WELDING PROCESS.  B. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.","EXISTING WAFER STYLE CHECK VALVES SHOULD BE REPLACED WITH SWING CHECK VALVES. IF EXISTING WAFER STYLE (DOUBLE PLATE) CHECK VALVES HAVE TO BE REPLACED IN KIND, USE VALVE CODE NUMBER V01525."
CJ  ,"WET CO2, RICH CO2 CONDENSATE, RICH CATACARB SOLUTION",CL 150 RF,ASME B16.5,500F,"0.0625""",304LSS,CL 3000 SW,316SS,316SS/ STELL.,CMG,B7 STUD,S-04, ,,2008-1-12,"A. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.  B.  METAL THAT HAS BEEN EXPOSED TO CAUSTIC, CATACARB, OR AMINE SERVICE MUST BE NEUTRALIZED PRIOR TO WELDING.  THE METAL SHALL BE THOROUGHLY RINSED WITH WATER AND THEN NEUTRALIZED WITH AMPLE AMOUNTS OF UNDILUTED VINEGAR.  ALLOW FOR THE SOLUTION TO REACT FOR APPROXIMATELY 5 MINUTES AND THEN RINSE AGAIN WITH WATER.  VERIFY NEUTRALIZATION USING LITMUS PAPER AND REPEAT IF NECESSARY.  ONCE NEUTRALIZED, DRY THE AREA AND PROCEED WITH WELDING.",
CJA ,HYDROCARBONS (LOW TEMP.: -150F TO -51F),CL 150 RF,ASME B16.5,-150F TO 300F,NONE,304LSS,CL 3000 SW,316SS/316LSS,316SS/ STELL.,SPIRAL WOUND,B8 STUD,S-04, ,,2008-9-19,"A. GATE VALVES IN SIZES 1-1/2"" AND SMALLER ARE SPECIFIED AS REDUCED PORT. IF FULL PORT VALVES ARE REQUIRED FOR PROCESS REASONS OR FOR PSV BLOCK VALVES, SPECIFY FULL PORT.   B. WELD METAL DEPOSITS SHALL BE CHARPY IMPACT TESTED IN ACCORDANCE WITH ASME B31.3.",
