Note_No,Note_Text,Last_Updt_Id,Last_Updt_Date
346,"FOR ALL 45 DEGREES BRANCHES, USE LATROLETS. FOR BRANCHES BETWEEN 45 DEGREES AND 90 DEGREES, USE STUB-INS (NOT STUB-ON) PER ASME B31.3. USE HEAVIER PIPE WHEN REINFORCEMENT IS NECESSARY TO AVOID USE OF REINFORCING PADS.",PCSSME,1999-6-29
347,"RUN AN ELECTRICAL CONTINUITY TEST EACH TIME THE PIPE WORK IS ASSEMBLED, AT LEAST ONCE A YEAR.",PCSSME,1999-6-22
350,COUPLING PREFERRED; USE FLANGES ONLY TO MATCH EQUIPMENT.,PCSSME,1999-6-30
351,"CPV MANUFACTURING, INC. (PREVIOUSLY NAMED COMBINATION PUMP VALVE COMPANY), 851 PRESTON STREET, PHILADELPHIA, PA,19104.",MARTD6,2008-2-11
352,USE FOR BLOCK VALVE WHERE TEMPERATURE IS ABOVE 374F.,PCSSME,1999-6-30
353,KILL GAS SERVICE ONLY (2500 PSIG MAX.). DO NOT USE IN HYDROGEN SERVICE.,PCSSME,1999-6-30
355,"ON INSTALLATION, FOLLOW MANUFACTURER'S RECOMMENDATION FOR WELDING TO AVOID DAMAGE TO SEATS AND SEALS.",PCSSME,1999-6-30
356,PURCHASE APPROPRIATE TAIL PIECES AND UNION NUTS FOR EACH VALVE.,PCSSME,1999-6-30
365,REDUCED PORT VALVE. DO NOT USE WHERE FULL PORT VALVE IS REQUIRED.,PCSSME,1999-6-30
366,TIGHT-SHUT-OFF (TSO) CHECK VALVES SHALL BE USED ONLY WHERE IDENTIFIED IN THE P&IDS. MAX. TEMPERATURE OF VITON IS 400F.,PCSSME,1999-6-24
370,JM CLIPPER ELASTAGRAPH OF THE SAME DIMENSION MAY BE SUBSTITUTED FOR THIS GASKET TYPE.,MARTD6,2008-2-11
373,LOW TEMP. CARBON STEEL (LTCS) MATERIALS FOR FIELD FABRICATION SHALL BE COLOR CODED WITH ONE CONTINOUS WHITE STRIPE FOR IDENTIFICATION. SHOP FABRICATED PIPING SHALL BE COLOR CODED IN THE SAME MANNER UNLESS WAIVED BY ARCO.,PCSSME,1999-6-24
374,"JOINTS, INCLUDING EQUIPMENT CONNECTIONS, SHALL BE ELECTRICALLY BONDED AND PIPING GROUNDED.",PCSSME,1999-6-22
377,"USE WELD NECK FLANGES, DO NOT SUBSTITUTE",PCSSME,1999-6-29
379,MAX. ALLOWABLE PRESSURE OF VALVE BODY IS 2500 PSIG AT 100F. MAX. HYDROSTATIC TEST PRESSURE IS 3750 PSIG. INSTRUMENT LINES SHALL BE TESTED SEPARATELY IN ACCORDANCE WITH FIELD INSTRUMENT LINES PRESSURE TEST PROCEDURE.,PCSSME,1999-6-22
388,DO NOT USE THREADED NIPPLES.,PCSSME,1999-6-30
389,PIPE & FITTINGS SHALL BE EXTERNALLY PROTECTED WITH POLYETHYLENE WRAP TO BE SUPPLIED BY THE PIPE MANUFACTURER.,PCSSME,1999-6-21
390,"REFER TO MANUFACTURER'S RECOMMENDED INSTALLATION OF ""FIELD LOK"" GASKET.",PCSSME,1999-6-21
392,USE WHEN LINE TEMP. EXCEEDS 500F. MAXIMUM TEMP. IS 800F FOR THIS VALVE.,PCSSME,1999-6-25
393,ALL WELDS SHALL BE GROUND INSIDE AND OUT TO CREATE A SMOOTH TRANSITION AND ELIMINATE STRESS RISERS.,PCSSME,1999-6-29
402,ALL LINES MUST NOT EXCEED 30 DEGREES FROM VERTICAL.,PCSSME,1999-6-22
406,"MINIMUM LINE SIZE SHALL BE 3/4"" EXCEPT INSTRUMENT, VENTS, DRAINS, AND ORIFICE TAP CONNECTIONS.",PCSSME,1999-6-30
411, TO BE USED WHEN SHOWN ON THE DRAWINGS.,PCSSME,1999-6-21
418,10 DIAMETERS OF STRAIGHT PIPE IS REQUIRED UPSTREAM AND DOWNSTREAM OF THE VALVE.,PCSSME,1999-6-24
420,STAINLESS STEEL VALVE MAY BE SUBSTITUTED FOR LOW TEMP. CARBON STEEL (LTCS) VALVE PROVIDED THAT THE PRESSURE-TEMPERATURE RATING OF THE SS VALVE AND FLANGES MEET THE DESIGN CONDITIONS OF THE PROCESS. STAINLESS STEEL FLANGES HAVE LOWER RATING THAN LTCS.,PCSSME,1999-6-24
426,"WHEN REQUIRED, TAPER BORE TO ALIGN IN ACCORDANCE WITH ASME B31.3, FIGURE 328.4.3.",PCSSME,1999-6-22
427,SPECIFY PIPE BORE WHEN ORDERING THIS VALVE.,PCSSME,1999-6-24
428,"WHEN CONNECTING RF FLANGES TO FF NON-METALLIC FLANGES, USE 1/8"" THICK FULL FACE NEOPRENE GASKET.",PCSSME,1999-6-28
450,"FOR INTEGRALLY REINFORCED FITTINGS (WELDOLETS, ETC.), SPECIFY ASTM A350 GR. LF2, CLASS 1.",PCSSME,1999-6-24
451,"ALL VALVES, EXCEPT CHECK VALVES, SHALL BE INSTALLED WITH THE STEM IN THE VERTICAL (UP) POSITION.",PCSSME,1999-6-28
452,THE VALVE DISC SHALL BE PROVIDED WITH BONNET CAVITY PRESSURE RELIEF. SEE VALVE V-SHEET.,PCSSME,1999-6-28
453,THE BALL SHALL BE PROVIDED WITH BODY CAVITY PRESSURE RELIEF. SEE VALVE V-SHEET.,PCSSME,1999-6-28
454,TIGHT-SHUT-OFF (TSO) CHECK VALVES SHALL BE USED ONLY WHERE IDENTIFIED IN THE P&IDS.,PCSSME,1999-6-28
455,THIS IS A FULL PORT VALVE. USE ONLY WHERE INDICATED IN THE P&IDs.,PCSSME,1999-6-28
456,"PRIOR TO INSTALLING ORIFICE FLANGES, FIELD SHALL REMOVE ANY JACKING BOLTS SUPPLIED WITH THE FLANGE SET.",MARTD6,2008-9-19
457,"ALL ALLOY C276 PIPE, FITTINGS, AND FLANGES SHALL BE ANNEALED BY HEATING TO 2050 DEGREES F MINIMUM FOLLOWED BY RAPID QUENCHING IN WATER.",NEUHKM,2007-3-13
458,DO NOT MIX OR INTERCHANGE PARTS OF TUBE FITTINGS MADE BY OTHER MANUFACTURERS; THIS COULD RESULT IN LEAKS OR FAILURE OF THE SYSTEM.,NEUHKM,2007-3-13
460,ASTM B564 UNS N10276 MATERIAL IS ACCEPTABLE FOR ALLOY C276 FLANGES,NEUHKM,2007-6-18
461,PIPE MADE FROM ASTM B575 PLATE MATERIAL SHALL BE MANUFACTURED IN CONFORMANCE WITH THE GENERAL REQUIREMENTS OF ASTM B775,NEUHKM,2007-6-18
462,JAMESBURY SHORT PATTERN BALL VALVES MAY HAVE BEEN PREVIOUSLY INSTALLED FOR THIS PIPE CLASS.  IF A DIRECT REPLACEMENT IS NEEDED USE VALVE SHEET V03801.,NEUHKM,2007-4-30
463,JAMESBURY SHORT PATTERN BALL VALVES MAY HAVE BEEN PREVIOUSLY INSTALLED FOR THIS PIPE CLASS.  IF A DIRECT REPLACEMENT IS NEEDED USE VALVE SHEET V03802.,NEUHKM,2007-4-30
464,"FOR SULFURIC ACID SERVICE, GRAPHITE SEALS ARE LIMITED TO 72F TEMPERATURE.",NEUHKM,2007-5-29
470,ALL UNDERGROUND VALVES SHALL BE LOCATED IN A VALVE BOX.  SEE DRW. LD-00-4000-2315,MARTD6,2008-2-22
471,BUTTERFLY VALVES REQUIRE ADDITIONAL CLEARANCE ON EACH SIDE OF VALVE TO PERMIT DISC ROTATION.  BEVELED FLANGE ADAPTERS PREFERRED.  PIPE DESIGNER SHALL VERIFY ADEQUATE CLEARANCE FOR SPECIFIC VALVE TO BE USED.,HEDSTX,2007-9-21
472,"BOLTING TORQUE REQUIREMENTS SHALL BE IN ACCORDANCE WITH GASKET MANUFACTURERS RECOMMENDATIONS.  RE-TORQUING SHALL BE PERFORMED IN ACCORDANCE WITH PIP PNSC0036, ARTICLE 5.4",HEDSTX,2007-9-21
473,CLASS PE345464C IS THE MINIMUM REQUIRED CELL CLASSIFICATION.  HIGHER CELL CLASSIFICATIONS ARE ACCEPTABLE.,HEDSTX,2007-9-21
474,"ALL PIPE THAT HANDLES POTABLE WATER SHALL BE CERTIFIED TO NSF STANDARD 61 AND NSF/ANSI 14.  NSF CERTIFICATION NOT REQ'D FOR VALVES AND FITTINGS",HEDSTX,2007-9-21
475,ASTM F436 HARDENED FLAT WASHERS SHALL BE USED BETWEEN THE NUT AND BACK-UP RING.,HEDSTX,2007-9-21
476,"BOLTS, NUTS & WASHERS SHALL BE COATED & WRAPPED WITH VALVES AND FLANGES IN ACCORDANCE WITH BPCP STD 503.",HEDSTX,2007-9-21
477,"PP=PERFORMANCE PIPE, DIV. OF CHEVRON PHILLIPS CHEM. CO. MFG OF APPR. EQUAL MAY BE SUBST.  OTHER APPR. PE3408 HDPE PIPE MFG'S POLY PIPE - POTABLE WATER (PW) SERIES JM MFG CO - WATER PRESS. PIPE (BLUE STRIPE) SERIES WL PLASTICS - MUNICIPAL WATER LINE",HEDSTX,2007-9-21
478,RECTANGULAR BASE SADDLES PREFERRED,HEDSTX,2007-9-21
479,FITTING MIN. PRESS. RATING MUST MEET OR EXCEED DR 11 PIPE IN THIS SPEC.,HEDSTX,2007-9-21
480,MECHANICAL BRANCH CONNECTIONS ARE NOT ALLOWED.  FUSION WELDED SADDLE TYPE CONNECTIONS ARE ACCEPTABLE.,HEDSTX,2007-9-21
481,BURIED HDPE PIPE SHALL BE SLEEVED AT ALL ROAD CROSSINGS.,HEDSTX,2007-9-21
482,USE ELECTRO FUSION COUPLINGS ONLY WHEN NECESSARY.  BUTT FUSION TYPE JOINTS PREFERRED.,HEDSTX,2007-9-21
483,VERIFY THAT RING SPACER HAS ADEQUATE PRESS. RATING FOR THE SERVICE PRIOR TO USE.  BEVELED FLANGE ADAPTER PREFERRED.,HEDSTX,2007-9-21
484,SPECIFY AS BEVELED FLANGE ADAPTER WHERE REQUIRED FOR BUTTERFLY VALVE DISC ROTATION.,HEDSTX,2007-9-21
485,USE ONLY FOR ELEVATION CHANGES AT MANHOLES TO ATTAIN LIQUID SEAL.  USE MANHOLES FOR DIRECTIONAL CHANGES.,LOOMT0,2007-10-24
486,SEAMLESS ALLOY C276 ASTM 622 UNS N10276 TUBING IS ACCEPTABLE.  SEE S-09 FOR FULL DESCRIPTION.,LOOMT0,2007-11-1
487,"WHERE THE SEWER IS EXPECTED TO SEE FLUIDS WHICH ARE NOT COMPATIBLE WITH NITRILE (= BUNA N or NBR), CONSIDER VITON GASKETS AS AN ALTERNATIVE, IF APPLICABLE.  THE SPECIFIC LOCATIONS WHERE VITON GASKETS ARE REQUIRED SHALL BE NOTED ON THE DRAWINGS.",MARTD6,2007-11-12
488,C.I. PIPE SHALL BE USED IN PROCESS AREAS & WHERE BRANCHES ARE NEEDED TO COLLECT WASTE STREAMS FROM EQUIPMENT & AREA DRAINS PRIOR TO BEING ROUTED TO A SEALED MANHOLE.  DIRECT CONNECTION BETWEEN C.I. & D.I. PIPE IS NOT ALLOWED.,MARTD6,2007-11-12
489,D.I. PIPE SHALL ONLY BE USED FOR STRAIGHT RUN SECTIONS BETWEEN MANHOLES.  BRANCH CONNECTIONS AND HORIZONTAL DIRECTIONAL CHANGES ARE NOT ALLOWED.  USE OF FITTINGS FOR ELEVATION DROPS ARE ONLY ALLOWED AT INLETS TO MANHOLES FOR ESTABLISHIING A WATER SEAL.,LOOMT0,2007-11-7
490,"FOR POTABLE WATER SERVICE, ALL STRAIGHT PIPE TO BE PURCHASED NSF-61 CERTIFIED (FITTINGS, GASKETS AND VALVES EXCLUDED).",LOOMT0,2008-9-4
491,SEE SPECIAL NOTE C ON PIPE CLASS FAH,LOOMT0,2008-8-11
492,SEE SPECIAL NOTE D ON PIPE CLASS CAH,LOOMT0,2008-8-11
493,NOT RECOMMENDED FOR SERVICES ABOVE 500F COMBINED WITH SEVERE THERMAL GRADIENTS OR THERMAL CYCLING,LOOMT0,2009-2-10
494,"NOT TO BE USED IN ANY FLAMMABLE AND STEAM SERVICES AND ANY OTHER SERVICE OPERATING ABOVE 500F.  ALSO, NOT TO BE USED UNDER ANTICIPATED HIGH BENDING STRESSES COMBINED WITH VIBRATION OR CYCLIC TEMPERATURE CONDITIONS",LOOMT0,2009-2-10
